Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	971,09	-1000000	-1000000	-1000000	
0,02000	966,76	-1000000	-1000000	-1000000	
0,04000	967,97	-1000000	-1000000	-1000000	
0,06000	971,58	-1000000	-1000000	-1000000	
0,08000	974,06	-1000000	-1000000	-1000000	
0,1000	972,93	-1000000	-1000000	-1000000	
0,1200	968,71	-1000000	-1000000	-1000000	
0,1400	963,26	-1000000	-1000000	-1000000	
0,1600	960,22	-1000000	-1000000	-1000000	
0,1800	959,40	-1000000	-1000000	-1000000	
0,2000	959,87	-1000000	-1000000	-1000000	
0,2200	961,67	-1000000	-1000000	-1000000	
0,2400	965,20	-1000000	-1000000	-1000000	
0,2600	967,53	-1000000	-1000000	-1000000	
0,2800	966,83	-1000000	-1000000	-1000000	
0,3000	962,85	-1000000	-1000000	-1000000	
0,3200	957,68	-1000000	-1000000	-1000000	
0,3400	954,28	-1000000	-1000000	-1000000	
0,3600	956,05	-1000000	-1000000	-1000000	
0,3800	963,43	-1000000	-1000000	-1000000	
0,4000	972,93	-1000000	-1000000	-1000000	
0,4200	979,12	-1000000	-1000000	-1000000	
0,4400	979,22	-1000000	-1000000	-1000000	
0,4600	974,53	-1000000	-1000000	-1000000	
0,4800	969,04	-1000000	-1000000	-1000000	
0,5000	966,83	-1000000	-1000000	-1000000	
0,5200	968,40	-1000000	-1000000	-1000000	
0,5400	972,27	-1000000	-1000000	-1000000	
0,5600	975,39	-1000000	-1000000	-1000000	
0,5800	976,34	-1000000	-1000000	-1000000	
0,6000	975,33	-1000000	-1000000	-1000000	
0,6200	973,80	-1000000	-1000000	-1000000	
0,6400	972,79	-1000000	-1000000	-1000000	
0,6600	973,48	-1000000	-1000000	-1000000	
0,6800	975,91	-1000000	-1000000	-1000000	
0,7000	979,22	-1000000	-1000000	-1000000	
0,7200	982,99	-1000000	-1000000	-1000000	
0,7400	985,33	-1000000	-1000000	-1000000	
0,7600	984,07	-1000000	-1000000	-1000000	
0,7800	979,06	-1000000	-1000000	-1000000	
0,8000	974,82	-1000000	-1000000	-1000000	
0,8200	975,29	-1000000	-1000000	-1000000	
0,8400	980,40	-1000000	-1000000	-1000000	
0,8600	986,21	-1000000	-1000000	-1000000	
0,8800	990,17	-1000000	-1000000	-1000000	
0,9000	990,90	-1000000	-1000000	-1000000	
0,9200	989,14	-1000000	-1000000	-1000000	
0,9400	986,12	-1000000	-1000000	-1000000	
0,9600	983,01	-1000000	-1000000	-1000000	
0,9800	979,74	-1000000	-1000000	-1000000	
1,000	976,78	-1000000	-1000000	-1000000	
1,020	975,17	-1000000	-1000000	-1000000	
1,040	974,04	-1000000	-1000000	-1000000	
1,060	971,66	-1000000	-1000000	-1000000	
1,080	967,05	-1000000	-1000000	-1000000	
1,100	962,66	-1000000	-1000000	-1000000	
1,120	962,30	-1000000	-1000000	-1000000	
1,140	968,09	-1000000	-1000000	-1000000	
1,160	978,02	-1000000	-1000000	-1000000	
1,180	988,28	-1000000	-1000000	-1000000	
1,200	993,84	-1000000	-1000000	-1000000	
1,220	992,50	-1000000	-1000000	-1000000	
1,240	986,30	-1000000	-1000000	-1000000	
1,260	979,03	-1000000	-1000000	-1000000	
1,280	971,98	-1000000	-1000000	-1000000	
1,300	966,22	-1000000	-1000000	-1000000	
1,320	962,65	-1000000	-1000000	-1000000	
1,340	962,25	-1000000	-1000000	-1000000	
1,360	964,50	-1000000	-1000000	-1000000	
1,380	968,97	-1000000	-1000000	-1000000	
1,400	973,56	-1000000	-1000000	-1000000	
1,420	975,31	-1000000	-1000000	-1000000	
1,440	972,54	-1000000	-1000000	-1000000	
1,460	967,17	-1000000	-1000000	-1000000	
1,480	961,40	-1000000	-1000000	-1000000	
1,500	957,16	-1000000	-1000000	-1000000	
1,520	956,15	-1000000	-1000000	-1000000	
1,540	959,91	-1000000	-1000000	-1000000	
1,560	967,67	-1000000	-1000000	-1000000	
1,580	975,29	-1000000	-1000000	-1000000	
