Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	1004,3	-1000000	-1000000	-1000000	
0,02000	1008,4	-1000000	-1000000	-1000000	
0,04000	1011,2	-1000000	-1000000	-1000000	
0,06000	1012,6	-1000000	-1000000	-1000000	
0,08000	1012,0	-1000000	-1000000	-1000000	
0,1000	1010,3	-1000000	-1000000	-1000000	
0,1200	1008,3	-1000000	-1000000	-1000000	
0,1400	1006,6	-1000000	-1000000	-1000000	
0,1600	1005,0	-1000000	-1000000	-1000000	
0,1800	1004,6	-1000000	-1000000	-1000000	
0,2000	1005,0	-1000000	-1000000	-1000000	
0,2200	1006,6	-1000000	-1000000	-1000000	
0,2400	1007,3	-1000000	-1000000	-1000000	
0,2600	1005,2	-1000000	-1000000	-1000000	
0,2800	998,48	-1000000	-1000000	-1000000	
0,3000	990,24	-1000000	-1000000	-1000000	
0,3200	983,85	-1000000	-1000000	-1000000	
0,3400	982,29	-1000000	-1000000	-1000000	
0,3600	985,63	-1000000	-1000000	-1000000	
0,3800	991,33	-1000000	-1000000	-1000000	
0,4000	995,88	-1000000	-1000000	-1000000	
0,4200	997,69	-1000000	-1000000	-1000000	
0,4400	997,56	-1000000	-1000000	-1000000	
0,4600	997,12	-1000000	-1000000	-1000000	
0,4800	997,37	-1000000	-1000000	-1000000	
0,5000	999,02	-1000000	-1000000	-1000000	
0,5200	1002,0	-1000000	-1000000	-1000000	
0,5400	1004,8	-1000000	-1000000	-1000000	
0,5600	1005,0	-1000000	-1000000	-1000000	
0,5800	1002,5	-1000000	-1000000	-1000000	
0,6000	999,47	-1000000	-1000000	-1000000	
0,6200	997,97	-1000000	-1000000	-1000000	
0,6400	998,95	-1000000	-1000000	-1000000	
0,6600	1002,8	-1000000	-1000000	-1000000	
0,6800	1008,1	-1000000	-1000000	-1000000	
0,7000	1012,3	-1000000	-1000000	-1000000	
0,7200	1014,4	-1000000	-1000000	-1000000	
0,7400	1014,3	-1000000	-1000000	-1000000	
0,7600	1012,2	-1000000	-1000000	-1000000	
0,7800	1009,0	-1000000	-1000000	-1000000	
0,8000	1006,6	-1000000	-1000000	-1000000	
0,8200	1006,2	-1000000	-1000000	-1000000	
0,8400	1007,3	-1000000	-1000000	-1000000	
0,8600	1009,4	-1000000	-1000000	-1000000	
0,8800	1011,2	-1000000	-1000000	-1000000	
0,9000	1011,4	-1000000	-1000000	-1000000	
0,9200	1009,7	-1000000	-1000000	-1000000	
0,9400	1008,5	-1000000	-1000000	-1000000	
0,9600	1009,6	-1000000	-1000000	-1000000	
0,9800	1014,1	-1000000	-1000000	-1000000	
1,000	1020,7	-1000000	-1000000	-1000000	
1,020	1025,6	-1000000	-1000000	-1000000	
1,040	1025,4	-1000000	-1000000	-1000000	
1,060	1019,7	-1000000	-1000000	-1000000	
1,080	1010,7	-1000000	-1000000	-1000000	
1,100	1000,0	-1000000	-1000000	-1000000	
1,120	988,91	-1000000	-1000000	-1000000	
1,140	981,61	-1000000	-1000000	-1000000	
1,160	981,81	-1000000	-1000000	-1000000	
1,180	990,23	-1000000	-1000000	-1000000	
1,200	1002,7	-1000000	-1000000	-1000000	
1,220	1013,9	-1000000	-1000000	-1000000	
1,240	1017,5	-1000000	-1000000	-1000000	
1,260	1013,1	-1000000	-1000000	-1000000	
1,280	1003,8	-1000000	-1000000	-1000000	
1,300	995,20	-1000000	-1000000	-1000000	
1,320	991,36	-1000000	-1000000	-1000000	
1,340	993,51	-1000000	-1000000	-1000000	
1,360	998,70	-1000000	-1000000	-1000000	
1,380	1003,0	-1000000	-1000000	-1000000	
1,400	1004,3	-1000000	-1000000	-1000000	
1,420	1003,3	-1000000	-1000000	-1000000	
1,440	1000,2	-1000000	-1000000	-1000000	
1,460	996,20	-1000000	-1000000	-1000000	
1,480	991,83	-1000000	-1000000	-1000000	
1,500	989,20	-1000000	-1000000	-1000000	
1,520	990,16	-1000000	-1000000	-1000000	
1,540	995,18	-1000000	-1000000	-1000000	
1,560	1002,2	-1000000	-1000000	-1000000	
1,580	1009,3	-1000000	-1000000	-1000000	
1,600	1013,5	-1000000	-1000000	-1000000	
1,620	1012,7	-1000000	-1000000	-1000000	
1,640	1007,2	-1000000	-1000000	-1000000	
1,660	999,35	-1000000	-1000000	-1000000	
1,680	991,41	-1000000	-1000000	-1000000	
1,700	984,97	-1000000	-1000000	-1000000	
1,720	981,53	-1000000	-1000000	-1000000	
1,740	981,97	-1000000	-1000000	-1000000	
1,760	984,50	-1000000	-1000000	-1000000	
1,780	987,84	-1000000	-1000000	-1000000	
1,800	990,26	-1000000	-1000000	-1000000	
1,820	990,33	-1000000	-1000000	-1000000	
1,840	987,61	-1000000	-1000000	-1000000	
1,860	984,10	-1000000	-1000000	-1000000	
1,880	981,72	-1000000	-1000000	-1000000	
1,900	982,11	-1000000	-1000000	-1000000	
1,920	985,86	-1000000	-1000000	-1000000	
1,940	993,81	-1000000	-1000000	-1000000	
1,960	1004,8	-1000000	-1000000	-1000000	
1,980	1015,1	-1000000	-1000000	-1000000	
2,000	1020,1	-1000000	-1000000	-1000000	
2,020	1018,4	-1000000	-1000000	-1000000	
2,040	1013,7	-1000000	-1000000	-1000000	
2,060	1011,3	-1000000	-1000000	-1000000	
2,080	1013,5	-1000000	-1000000	-1000000	
2,100	1018,2	-1000000	-1000000	-1000000	
2,120	1020,1	-1000000	-1000000	-1000000	
2,140	1015,6	-1000000	-1000000	-1000000	
2,160	1005,5	-1000000	-1000000	-1000000	
2,180	994,14	-1000000	-1000000	-1000000	
2,200	987,19	-1000000	-1000000	-1000000	
2,220	987,01	-1000000	-1000000	-1000000	
2,240	991,00	-1000000	-1000000	-1000000	
2,260	993,82	-1000000	-1000000	-1000000	
2,280	991,48	-1000000	-1000000	-1000000	
2,300	984,34	-1000000	-1000000	-1000000	
2,320	976,71	-1000000	-1000000	-1000000	
2,340	973,84	-1000000	-1000000	-1000000	
2,360	979,16	-1000000	-1000000	-1000000	
2,380	991,56	-1000000	-1000000	-1000000	
2,400	1006,3	-1000000	-1000000	-1000000	
2,420	1017,4	-1000000	-1000000	-1000000	
2,440	1020,6	-1000000	-1000000	-1000000	
2,460	1016,1	-1000000	-1000000	-1000000	
2,480	1006,3	-1000000	-1000000	-1000000	
2,500	993,93	-1000000	-1000000	-1000000	
2,520	981,62	-1000000	-1000000	-1000000	
2,540	973,40	-1000000	-1000000	-1000000	
2,560	973,60	-1000000	-1000000	-1000000	
2,580	984,07	-1000000	-1000000	-1000000	
2,600	1001,2	-1000000	-1000000	-1000000	
2,620	1017,3	-1000000	-1000000	-1000000	
2,640	1027,3	-1000000	-1000000	-1000000	
2,660	1030,3	-1000000	-1000000	-1000000	
2,680	1028,0	-1000000	-1000000	-1000000	
2,700	1022,8	-1000000	-1000000	-1000000	
2,720	1016,7	-1000000	-1000000	-1000000	
2,740	1010,4	-1000000	-1000000	-1000000	
2,760	1005,7	-1000000	-1000000	-1000000	
2,780	1004,1	-1000000	-1000000	-1000000	
2,800	1006,0	-1000000	-1000000	-1000000	
2,820	1010,4	-1000000	-1000000	-1000000	
2,840	1013,6	-1000000	-1000000	-1000000	
2,860	1010,8	-1000000	-1000000	-1000000	
2,880	1001,0	-1000000	-1000000	-1000000	
2,900	988,64	-1000000	-1000000	-1000000	
2,920	981,50	-1000000	-1000000	-1000000	
2,940	985,56	-1000000	-1000000	-1000000	
2,960	1001,1	-1000000	-1000000	-1000000	
2,980	1020,4	-1000000	-1000000	-1000000	
3,000	1034,3	-1000000	-1000000	-1000000	
3,020	1036,9	-1000000	-1000000	-1000000	
3,040	1028,4	-1000000	-1000000	-1000000	
3,060	1014,9	-1000000	-1000000	-1000000	
3,080	1004,1	-1000000	-1000000	-1000000	
3,100	1000,3	-1000000	-1000000	-1000000	
3,120	1003,5	-1000000	-1000000	-1000000	
3,140	1010,3	-1000000	-1000000	-1000000	
3,160	1015,9	-1000000	-1000000	-1000000	
3,180	1015,7	-1000000	-1000000	-1000000	
3,200	1009,6	-1000000	-1000000	-1000000	
3,220	1000,7	-1000000	-1000000	-1000000	
3,240	992,47	-1000000	-1000000	-1000000	
3,260	988,52	-1000000	-1000000	-1000000	
3,280	991,40	-1000000	-1000000	-1000000	
3,300	1000,5	-1000000	-1000000	-1000000	
3,320	1012,8	-1000000	-1000000	-1000000	
3,340	1023,0	-1000000	-1000000	-1000000	
3,360	1027,2	-1000000	-1000000	-1000000	
3,380	1023,9	-1000000	-1000000	-1000000	
3,400	1015,6	-1000000	-1000000	-1000000	
3,420	1006,4	-1000000	-1000000	-1000000	
3,440	999,16	-1000000	-1000000	-1000000	
3,460	995,60	-1000000	-1000000	-1000000	
3,480	994,33	-1000000	-1000000	-1000000	
3,500	992,77	-1000000	-1000000	-1000000	
3,520	991,30	-1000000	-1000000	-1000000	
3,540	991,31	-1000000	-1000000	-1000000	
3,560	993,02	-1000000	-1000000	-1000000	
3,580	994,73	-1000000	-1000000	-1000000	
3,600	994,64	-1000000	-1000000	-1000000	
3,620	991,91	-1000000	-1000000	-1000000	
3,640	987,98	-1000000	-1000000	-1000000	
3,660	984,07	-1000000	-1000000	-1000000	
3,680	981,90	-1000000	-1000000	-1000000	
3,700	981,84	-1000000	-1000000	-1000000	
3,720	985,55	-1000000	-1000000	-1000000	
3,740	992,90	-1000000	-1000000	-1000000	
3,760	1001,4	-1000000	-1000000	-1000000	
3,780	1006,9	-1000000	-1000000	-1000000	
3,800	1007,8	-1000000	-1000000	-1000000	
3,820	1004,1	-1000000	-1000000	-1000000	
3,840	997,81	-1000000	-1000000	-1000000	
3,860	990,47	-1000000	-1000000	-1000000	
3,880	985,92	-1000000	-1000000	-1000000	
3,900	986,39	-1000000	-1000000	-1000000	
3,920	991,53	-1000000	-1000000	-1000000	
3,940	997,76	-1000000	-1000000	-1000000	
3,960	1001,6	-1000000	-1000000	-1000000	
3,980	1001,2	-1000000	-1000000	-1000000	
4,000	998,70	-1000000	-1000000	-1000000	
4,020	996,98	-1000000	-1000000	-1000000	
4,040	998,53	-1000000	-1000000	-1000000	
4,060	1003,4	-1000000	-1000000	-1000000	
4,080	1010,3	-1000000	-1000000	-1000000	
4,100	1016,1	-1000000	-1000000	-1000000	
4,120	1017,8	-1000000	-1000000	-1000000	
4,140	1013,1	-1000000	-1000000	-1000000	
4,160	1004,6	-1000000	-1000000	-1000000	
4,180	994,72	-1000000	-1000000	-1000000	
4,200	986,79	-1000000	-1000000	-1000000	
4,220	982,73	-1000000	-1000000	-1000000	
4,240	985,25	-1000000	-1000000	-1000000	
4,260	992,46	-1000000	-1000000	-1000000	
4,280	1002,3	-1000000	-1000000	-1000000	
4,300	1010,5	-1000000	-1000000	-1000000	
4,320	1014,5	-1000000	-1000000	-1000000	
4,340	1013,1	-1000000	-1000000	-1000000	
4,360	1009,0	-1000000	-1000000	-1000000	
4,380	1003,4	-1000000	-1000000	-1000000	
4,400	997,80	-1000000	-1000000	-1000000	
4,420	992,35	-1000000	-1000000	-1000000	
4,440	988,83	-1000000	-1000000	-1000000	
4,460	988,08	-1000000	-1000000	-1000000	
4,480	990,83	-1000000	-1000000	-1000000	
4,500	995,48	-1000000	-1000000	-1000000	
4,520	1000,7	-1000000	-1000000	-1000000	
4,540	1004,9	-1000000	-1000000	-1000000	
4,560	1008,1	-1000000	-1000000	-1000000	
4,580	1009,7	-1000000	-1000000	-1000000	
4,600	1009,3	-1000000	-1000000	-1000000	
