Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	964,08	-1000000	-1000000	-1000000	
0,02000	955,94	-1000000	-1000000	-1000000	
0,04000	950,92	-1000000	-1000000	-1000000	
0,06000	949,84	-1000000	-1000000	-1000000	
0,08000	952,88	-1000000	-1000000	-1000000	
0,1000	960,29	-1000000	-1000000	-1000000	
0,1200	968,05	-1000000	-1000000	-1000000	
0,1400	973,54	-1000000	-1000000	-1000000	
0,1600	975,44	-1000000	-1000000	-1000000	
0,1800	969,45	-1000000	-1000000	-1000000	
0,2000	956,69	-1000000	-1000000	-1000000	
0,2200	941,30	-1000000	-1000000	-1000000	
0,2400	929,46	-1000000	-1000000	-1000000	
0,2600	928,74	-1000000	-1000000	-1000000	
0,2800	938,98	-1000000	-1000000	-1000000	
0,3000	954,15	-1000000	-1000000	-1000000	
0,3200	968,36	-1000000	-1000000	-1000000	
0,3400	974,08	-1000000	-1000000	-1000000	
0,3600	969,31	-1000000	-1000000	-1000000	
0,3800	957,99	-1000000	-1000000	-1000000	
0,4000	943,21	-1000000	-1000000	-1000000	
0,4200	932,06	-1000000	-1000000	-1000000	
0,4400	930,78	-1000000	-1000000	-1000000	
0,4600	938,04	-1000000	-1000000	-1000000	
0,4800	950,54	-1000000	-1000000	-1000000	
0,5000	964,46	-1000000	-1000000	-1000000	
0,5200	973,35	-1000000	-1000000	-1000000	
0,5400	975,21	-1000000	-1000000	-1000000	
0,5600	967,74	-1000000	-1000000	-1000000	
0,5800	953,39	-1000000	-1000000	-1000000	
0,6000	940,17	-1000000	-1000000	-1000000	
0,6200	933,24	-1000000	-1000000	-1000000	
0,6400	933,76	-1000000	-1000000	-1000000	
0,6600	943,55	-1000000	-1000000	-1000000	
0,6800	957,03	-1000000	-1000000	-1000000	
0,7000	968,68	-1000000	-1000000	-1000000	
0,7200	973,76	-1000000	-1000000	-1000000	
0,7400	968,02	-1000000	-1000000	-1000000	
0,7600	954,40	-1000000	-1000000	-1000000	
0,7800	940,35	-1000000	-1000000	-1000000	
0,8000	930,41	-1000000	-1000000	-1000000	
0,8200	929,99	-1000000	-1000000	-1000000	
0,8400	938,20	-1000000	-1000000	-1000000	
0,8600	949,68	-1000000	-1000000	-1000000	
0,8800	959,72	-1000000	-1000000	-1000000	
0,9000	963,32	-1000000	-1000000	-1000000	
0,9200	959,35	-1000000	-1000000	-1000000	
0,9400	953,27	-1000000	-1000000	-1000000	
0,9600	947,73	-1000000	-1000000	-1000000	
0,9800	945,14	-1000000	-1000000	-1000000	
1,000	946,38	-1000000	-1000000	-1000000	
1,020	948,92	-1000000	-1000000	-1000000	
1,040	951,79	-1000000	-1000000	-1000000	
1,060	954,02	-1000000	-1000000	-1000000	
1,080	952,24	-1000000	-1000000	-1000000	
1,100	948,87	-1000000	-1000000	-1000000	
1,120	946,00	-1000000	-1000000	-1000000	
1,140	945,66	-1000000	-1000000	-1000000	
1,160	950,18	-1000000	-1000000	-1000000	
1,180	957,27	-1000000	-1000000	-1000000	
1,200	963,70	-1000000	-1000000	-1000000	
1,220	970,45	-1000000	-1000000	-1000000	
1,240	973,79	-1000000	-1000000	-1000000	
1,260	972,41	-1000000	-1000000	-1000000	
1,280	966,22	-1000000	-1000000	-1000000	
1,300	954,29	-1000000	-1000000	-1000000	
1,320	941,19	-1000000	-1000000	-1000000	
1,340	932,94	-1000000	-1000000	-1000000	
1,360	930,05	-1000000	-1000000	-1000000	
1,380	935,13	-1000000	-1000000	-1000000	
1,400	946,33	-1000000	-1000000	-1000000	
1,420	957,43	-1000000	-1000000	-1000000	
1,440	966,05	-1000000	-1000000	-1000000	
1,460	967,18	-1000000	-1000000	-1000000	
1,480	958,90	-1000000	-1000000	-1000000	
1,500	946,35	-1000000	-1000000	-1000000	
1,520	934,61	-1000000	-1000000	-1000000	
1,540	928,57	-1000000	-1000000	-1000000	
1,560	933,44	-1000000	-1000000	-1000000	
1,580	944,93	-1000000	-1000000	-1000000	
1,600	958,41	-1000000	-1000000	-1000000	
1,620	969,60	-1000000	-1000000	-1000000	
1,640	972,61	-1000000	-1000000	-1000000	
1,660	966,30	-1000000	-1000000	-1000000	
1,680	953,99	-1000000	-1000000	-1000000	
1,700	940,66	-1000000	-1000000	-1000000	
1,720	934,73	-1000000	-1000000	-1000000	
1,740	938,11	-1000000	-1000000	-1000000	
1,760	947,90	-1000000	-1000000	-1000000	
1,780	961,08	-1000000	-1000000	-1000000	
1,800	970,91	-1000000	-1000000	-1000000	
1,820	972,52	-1000000	-1000000	-1000000	
1,840	966,52	-1000000	-1000000	-1000000	
1,860	953,87	-1000000	-1000000	-1000000	
1,880	939,97	-1000000	-1000000	-1000000	
1,900	931,38	-1000000	-1000000	-1000000	
1,920	929,41	-1000000	-1000000	-1000000	
1,940	936,37	-1000000	-1000000	-1000000	
1,960	948,97	-1000000	-1000000	-1000000	
1,980	959,03	-1000000	-1000000	-1000000	
2,000	963,06	-1000000	-1000000	-1000000	
2,020	959,97	-1000000	-1000000	-1000000	
2,040	951,46	-1000000	-1000000	-1000000	
2,060	944,74	-1000000	-1000000	-1000000	
2,080	941,11	-1000000	-1000000	-1000000	
2,100	940,61	-1000000	-1000000	-1000000	
2,120	945,45	-1000000	-1000000	-1000000	
2,140	951,26	-1000000	-1000000	-1000000	
2,160	953,78	-1000000	-1000000	-1000000	
2,180	952,38	-1000000	-1000000	-1000000	
2,200	945,89	-1000000	-1000000	-1000000	
2,220	940,34	-1000000	-1000000	-1000000	
2,240	940,98	-1000000	-1000000	-1000000	
2,260	944,55	-1000000	-1000000	-1000000	
2,280	949,94	-1000000	-1000000	-1000000	
2,300	955,53	-1000000	-1000000	-1000000	
2,320	958,48	-1000000	-1000000	-1000000	
2,340	960,48	-1000000	-1000000	-1000000	
2,360	961,22	-1000000	-1000000	-1000000	
2,380	958,08	-1000000	-1000000	-1000000	
2,400	954,01	-1000000	-1000000	-1000000	
2,420	949,52	-1000000	-1000000	-1000000	
2,440	946,21	-1000000	-1000000	-1000000	
2,460	947,27	-1000000	-1000000	-1000000	
2,480	950,69	-1000000	-1000000	-1000000	
2,500	954,72	-1000000	-1000000	-1000000	
2,520	959,88	-1000000	-1000000	-1000000	
2,540	963,04	-1000000	-1000000	-1000000	
2,560	963,04	-1000000	-1000000	-1000000	
2,580	960,16	-1000000	-1000000	-1000000	
2,600	954,69	-1000000	-1000000	-1000000	
2,620	950,38	-1000000	-1000000	-1000000	
2,640	949,69	-1000000	-1000000	-1000000	
2,660	951,86	-1000000	-1000000	-1000000	
2,680	956,60	-1000000	-1000000	-1000000	
2,700	959,71	-1000000	-1000000	-1000000	
2,720	959,02	-1000000	-1000000	-1000000	
2,740	956,62	-1000000	-1000000	-1000000	
2,760	951,95	-1000000	-1000000	-1000000	
2,780	947,67	-1000000	-1000000	-1000000	
2,800	946,96	-1000000	-1000000	-1000000	
2,820	947,74	-1000000	-1000000	-1000000	
2,840	949,01	-1000000	-1000000	-1000000	
2,860	950,61	-1000000	-1000000	-1000000	
2,880	950,55	-1000000	-1000000	-1000000	
2,900	950,60	-1000000	-1000000	-1000000	
2,920	952,06	-1000000	-1000000	-1000000	
2,940	954,00	-1000000	-1000000	-1000000	
2,960	957,86	-1000000	-1000000	-1000000	
2,980	961,04	-1000000	-1000000	-1000000	
3,000	961,33	-1000000	-1000000	-1000000	
3,020	959,89	-1000000	-1000000	-1000000	
3,040	956,38	-1000000	-1000000	-1000000	
3,060	952,49	-1000000	-1000000	-1000000	
3,080	951,45	-1000000	-1000000	-1000000	
3,100	950,93	-1000000	-1000000	-1000000	
3,120	952,00	-1000000	-1000000	-1000000	
3,140	955,40	-1000000	-1000000	-1000000	
3,160	957,65	-1000000	-1000000	-1000000	
3,180	957,52	-1000000	-1000000	-1000000	
3,200	955,48	-1000000	-1000000	-1000000	
3,220	951,25	-1000000	-1000000	-1000000	
3,240	949,80	-1000000	-1000000	-1000000	
3,260	950,41	-1000000	-1000000	-1000000	
3,280	951,61	-1000000	-1000000	-1000000	
3,300	953,58	-1000000	-1000000	-1000000	
3,320	954,19	-1000000	-1000000	-1000000	
3,340	953,08	-1000000	-1000000	-1000000	
3,360	954,26	-1000000	-1000000	-1000000	
3,380	955,20	-1000000	-1000000	-1000000	
3,400	955,45	-1000000	-1000000	-1000000	
3,420	954,20	-1000000	-1000000	-1000000	
3,440	949,57	-1000000	-1000000	-1000000	
3,460	945,21	-1000000	-1000000	-1000000	
3,480	943,99	-1000000	-1000000	-1000000	
3,500	943,61	-1000000	-1000000	-1000000	
