Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	793,90	-1000000	-1000000	-1000000	
0,02000	793,90	-1000000	-1000000	-1000000	
0,04000	792,39	-1000000	-1000000	-1000000	
0,06000	790,55	-1000000	-1000000	-1000000	
0,08000	785,74	-1000000	-1000000	-1000000	
0,1000	782,43	-1000000	-1000000	-1000000	
0,1200	782,71	-1000000	-1000000	-1000000	
0,1400	784,41	-1000000	-1000000	-1000000	
0,1600	787,30	-1000000	-1000000	-1000000	
0,1800	788,10	-1000000	-1000000	-1000000	
0,2000	786,23	-1000000	-1000000	-1000000	
0,2200	785,96	-1000000	-1000000	-1000000	
0,2400	783,92	-1000000	-1000000	-1000000	
0,2600	780,72	-1000000	-1000000	-1000000	
0,2800	780,06	-1000000	-1000000	-1000000	
0,3000	780,40	-1000000	-1000000	-1000000	
0,3200	782,30	-1000000	-1000000	-1000000	
0,3400	785,09	-1000000	-1000000	-1000000	
0,3600	784,16	-1000000	-1000000	-1000000	
0,3800	783,49	-1000000	-1000000	-1000000	
0,4000	784,04	-1000000	-1000000	-1000000	
0,4200	782,92	-1000000	-1000000	-1000000	
0,4400	782,79	-1000000	-1000000	-1000000	
0,4600	783,74	-1000000	-1000000	-1000000	
0,4800	782,49	-1000000	-1000000	-1000000	
0,5000	782,01	-1000000	-1000000	-1000000	
0,5200	780,53	-1000000	-1000000	-1000000	
0,5400	778,78	-1000000	-1000000	-1000000	
0,5600	780,33	-1000000	-1000000	-1000000	
0,5800	781,31	-1000000	-1000000	-1000000	
0,6000	780,92	-1000000	-1000000	-1000000	
0,6200	782,37	-1000000	-1000000	-1000000	
0,6400	782,72	-1000000	-1000000	-1000000	
0,6600	782,24	-1000000	-1000000	-1000000	
0,6800	781,40	-1000000	-1000000	-1000000	
0,7000	779,77	-1000000	-1000000	-1000000	
0,7200	781,40	-1000000	-1000000	-1000000	
0,7400	784,51	-1000000	-1000000	-1000000	
0,7600	784,54	-1000000	-1000000	-1000000	
0,7800	784,60	-1000000	-1000000	-1000000	
0,8000	785,97	-1000000	-1000000	-1000000	
0,8200	788,26	-1000000	-1000000	-1000000	
0,8400	791,63	-1000000	-1000000	-1000000	
0,8600	792,07	-1000000	-1000000	-1000000	
0,8800	790,37	-1000000	-1000000	-1000000	
0,9000	789,56	-1000000	-1000000	-1000000	
0,9200	786,93	-1000000	-1000000	-1000000	
0,9400	784,54	-1000000	-1000000	-1000000	
0,9600	783,95	-1000000	-1000000	-1000000	
0,9800	783,04	-1000000	-1000000	-1000000	
1,000	783,28	-1000000	-1000000	-1000000	
1,020	783,18	-1000000	-1000000	-1000000	
1,040	780,85	-1000000	-1000000	-1000000	
1,060	780,82	-1000000	-1000000	-1000000	
1,080	781,92	-1000000	-1000000	-1000000	
1,100	782,11	-1000000	-1000000	-1000000	
1,120	784,22	-1000000	-1000000	-1000000	
1,140	785,12	-1000000	-1000000	-1000000	
1,160	783,66	-1000000	-1000000	-1000000	
1,180	782,94	-1000000	-1000000	-1000000	
1,200	781,06	-1000000	-1000000	-1000000	
1,220	781,04	-1000000	-1000000	-1000000	
1,240	784,66	-1000000	-1000000	-1000000	
1,260	785,69	-1000000	-1000000	-1000000	
1,280	785,85	-1000000	-1000000	-1000000	
1,300	788,20	-1000000	-1000000	-1000000	
1,320	789,72	-1000000	-1000000	-1000000	
1,340	790,95	-1000000	-1000000	-1000000	
1,360	789,88	-1000000	-1000000	-1000000	
1,380	785,09	-1000000	-1000000	-1000000	
1,400	782,36	-1000000	-1000000	-1000000	
1,420	781,03	-1000000	-1000000	-1000000	
1,440	779,82	-1000000	-1000000	-1000000	
1,460	782,23	-1000000	-1000000	-1000000	
1,480	785,66	-1000000	-1000000	-1000000	
1,500	788,05	-1000000	-1000000	-1000000	
1,520	789,59	-1000000	-1000000	-1000000	
1,540	787,26	-1000000	-1000000	-1000000	
1,560	784,72	-1000000	-1000000	-1000000	
