Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	989,74	-1000000	-1000000	-1000000	
0,02000	990,12	-1000000	-1000000	-1000000	
0,04000	997,87	-1000000	-1000000	-1000000	
0,06000	1007,2	-1000000	-1000000	-1000000	
0,08000	1014,0	-1000000	-1000000	-1000000	
0,1000	1015,4	-1000000	-1000000	-1000000	
0,1200	1010,8	-1000000	-1000000	-1000000	
0,1400	1003,6	-1000000	-1000000	-1000000	
0,1600	999,07	-1000000	-1000000	-1000000	
0,1800	999,00	-1000000	-1000000	-1000000	
0,2000	1003,0	-1000000	-1000000	-1000000	
0,2200	1008,9	-1000000	-1000000	-1000000	
0,2400	1014,8	-1000000	-1000000	-1000000	
0,2600	1018,4	-1000000	-1000000	-1000000	
0,2800	1018,9	-1000000	-1000000	-1000000	
0,3000	1016,8	-1000000	-1000000	-1000000	
0,3200	1014,3	-1000000	-1000000	-1000000	
0,3400	1015,0	-1000000	-1000000	-1000000	
0,3600	1021,1	-1000000	-1000000	-1000000	
0,3800	1030,2	-1000000	-1000000	-1000000	
0,4000	1039,1	-1000000	-1000000	-1000000	
0,4200	1044,5	-1000000	-1000000	-1000000	
0,4400	1043,9	-1000000	-1000000	-1000000	
0,4600	1036,7	-1000000	-1000000	-1000000	
0,4800	1024,6	-1000000	-1000000	-1000000	
0,5000	1010,2	-1000000	-1000000	-1000000	
0,5200	998,27	-1000000	-1000000	-1000000	
0,5400	992,94	-1000000	-1000000	-1000000	
0,5600	995,57	-1000000	-1000000	-1000000	
0,5800	1004,7	-1000000	-1000000	-1000000	
0,6000	1017,9	-1000000	-1000000	-1000000	
0,6200	1030,3	-1000000	-1000000	-1000000	
0,6400	1036,8	-1000000	-1000000	-1000000	
0,6600	1033,9	-1000000	-1000000	-1000000	
0,6800	1022,5	-1000000	-1000000	-1000000	
0,7000	1007,9	-1000000	-1000000	-1000000	
0,7200	996,09	-1000000	-1000000	-1000000	
0,7400	990,66	-1000000	-1000000	-1000000	
0,7600	993,58	-1000000	-1000000	-1000000	
0,7800	1003,3	-1000000	-1000000	-1000000	
0,8000	1017,2	-1000000	-1000000	-1000000	
0,8200	1030,8	-1000000	-1000000	-1000000	
0,8400	1038,7	-1000000	-1000000	-1000000	
0,8600	1037,4	-1000000	-1000000	-1000000	
0,8800	1027,8	-1000000	-1000000	-1000000	
0,9000	1013,5	-1000000	-1000000	-1000000	
0,9200	1001,2	-1000000	-1000000	-1000000	
0,9400	996,93	-1000000	-1000000	-1000000	
0,9600	1001,8	-1000000	-1000000	-1000000	
0,9800	1011,7	-1000000	-1000000	-1000000	
1,000	1021,1	-1000000	-1000000	-1000000	
1,020	1026,7	-1000000	-1000000	-1000000	
1,040	1029,8	-1000000	-1000000	-1000000	
1,060	1031,8	-1000000	-1000000	-1000000	
1,080	1033,6	-1000000	-1000000	-1000000	
1,100	1033,4	-1000000	-1000000	-1000000	
1,120	1028,8	-1000000	-1000000	-1000000	
1,140	1020,8	-1000000	-1000000	-1000000	
1,160	1013,1	-1000000	-1000000	-1000000	
1,180	1010,0	-1000000	-1000000	-1000000	
1,200	1012,7	-1000000	-1000000	-1000000	
1,220	1017,8	-1000000	-1000000	-1000000	
1,240	1020,8	-1000000	-1000000	-1000000	
1,260	1020,6	-1000000	-1000000	-1000000	
1,280	1018,6	-1000000	-1000000	-1000000	
1,300	1017,4	-1000000	-1000000	-1000000	
1,320	1018,6	-1000000	-1000000	-1000000	
1,340	1021,3	-1000000	-1000000	-1000000	
1,360	1021,6	-1000000	-1000000	-1000000	
1,380	1017,0	-1000000	-1000000	-1000000	
1,400	1010,6	-1000000	-1000000	-1000000	
1,420	1008,3	-1000000	-1000000	-1000000	
1,440	1014,1	-1000000	-1000000	-1000000	
1,460	1025,9	-1000000	-1000000	-1000000	
1,480	1037,3	-1000000	-1000000	-1000000	
1,500	1042,9	-1000000	-1000000	-1000000	
1,520	1041,5	-1000000	-1000000	-1000000	
1,540	1035,3	-1000000	-1000000	-1000000	
1,560	1028,9	-1000000	-1000000	-1000000	
1,580	1024,4	-1000000	-1000000	-1000000	
1,600	1021,4	-1000000	-1000000	-1000000	
1,620	1018,4	-1000000	-1000000	-1000000	
