Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	840,34	-1000000	-1000000	-1000000	
0,02000	845,91	-1000000	-1000000	-1000000	
0,04000	849,62	-1000000	-1000000	-1000000	
0,06000	851,83	-1000000	-1000000	-1000000	
0,08000	852,23	-1000000	-1000000	-1000000	
0,1000	849,99	-1000000	-1000000	-1000000	
0,1200	846,24	-1000000	-1000000	-1000000	
0,1400	841,19	-1000000	-1000000	-1000000	
0,1600	835,68	-1000000	-1000000	-1000000	
0,1800	832,25	-1000000	-1000000	-1000000	
0,2000	831,33	-1000000	-1000000	-1000000	
0,2200	833,67	-1000000	-1000000	-1000000	
0,2400	838,96	-1000000	-1000000	-1000000	
0,2600	843,95	-1000000	-1000000	-1000000	
0,2800	847,99	-1000000	-1000000	-1000000	
0,3000	850,64	-1000000	-1000000	-1000000	
0,3200	850,22	-1000000	-1000000	-1000000	
0,3400	847,66	-1000000	-1000000	-1000000	
0,3600	844,54	-1000000	-1000000	-1000000	
0,3800	842,00	-1000000	-1000000	-1000000	
0,4000	842,35	-1000000	-1000000	-1000000	
0,4200	845,32	-1000000	-1000000	-1000000	
0,4400	849,44	-1000000	-1000000	-1000000	
0,4600	852,59	-1000000	-1000000	-1000000	
0,4800	852,80	-1000000	-1000000	-1000000	
0,5000	850,19	-1000000	-1000000	-1000000	
0,5200	846,97	-1000000	-1000000	-1000000	
0,5400	843,45	-1000000	-1000000	-1000000	
0,5600	842,04	-1000000	-1000000	-1000000	
0,5800	844,69	-1000000	-1000000	-1000000	
0,6000	848,75	-1000000	-1000000	-1000000	
0,6200	853,89	-1000000	-1000000	-1000000	
0,6400	859,15	-1000000	-1000000	-1000000	
0,6600	862,23	-1000000	-1000000	-1000000	
0,6800	863,62	-1000000	-1000000	-1000000	
0,7000	863,62	-1000000	-1000000	-1000000	
0,7200	861,33	-1000000	-1000000	-1000000	
0,7400	859,68	-1000000	-1000000	-1000000	
0,7600	858,63	-1000000	-1000000	-1000000	
0,7800	858,85	-1000000	-1000000	-1000000	
0,8000	861,59	-1000000	-1000000	-1000000	
0,8200	864,89	-1000000	-1000000	-1000000	
0,8400	866,04	-1000000	-1000000	-1000000	
0,8600	864,31	-1000000	-1000000	-1000000	
0,8800	858,80	-1000000	-1000000	-1000000	
0,9000	852,59	-1000000	-1000000	-1000000	
0,9200	849,30	-1000000	-1000000	-1000000	
0,9400	850,08	-1000000	-1000000	-1000000	
0,9600	854,25	-1000000	-1000000	-1000000	
0,9800	859,27	-1000000	-1000000	-1000000	
1,000	861,37	-1000000	-1000000	-1000000	
1,020	859,59	-1000000	-1000000	-1000000	
1,040	854,35	-1000000	-1000000	-1000000	
1,060	848,72	-1000000	-1000000	-1000000	
1,080	846,46	-1000000	-1000000	-1000000	
1,100	847,42	-1000000	-1000000	-1000000	
1,120	850,72	-1000000	-1000000	-1000000	
1,140	855,36	-1000000	-1000000	-1000000	
1,160	859,39	-1000000	-1000000	-1000000	
1,180	862,39	-1000000	-1000000	-1000000	
1,200	863,73	-1000000	-1000000	-1000000	
1,220	863,12	-1000000	-1000000	-1000000	
1,240	862,13	-1000000	-1000000	-1000000	
1,260	860,35	-1000000	-1000000	-1000000	
1,280	858,05	-1000000	-1000000	-1000000	
1,300	855,23	-1000000	-1000000	-1000000	
1,320	853,53	-1000000	-1000000	-1000000	
1,340	854,67	-1000000	-1000000	-1000000	
1,360	859,23	-1000000	-1000000	-1000000	
1,380	864,62	-1000000	-1000000	-1000000	
1,400	867,82	-1000000	-1000000	-1000000	
1,420	867,25	-1000000	-1000000	-1000000	
1,440	861,92	-1000000	-1000000	-1000000	
1,460	852,74	-1000000	-1000000	-1000000	
1,480	843,82	-1000000	-1000000	-1000000	
1,500	838,01	-1000000	-1000000	-1000000	
1,520	837,03	-1000000	-1000000	-1000000	
1,540	841,13	-1000000	-1000000	-1000000	
1,560	849,24	-1000000	-1000000	-1000000	
1,580	859,18	-1000000	-1000000	-1000000	
1,600	867,40	-1000000	-1000000	-1000000	
1,620	871,25	-1000000	-1000000	-1000000	
1,640	870,37	-1000000	-1000000	-1000000	
1,660	865,88	-1000000	-1000000	-1000000	
1,680	859,49	-1000000	-1000000	-1000000	
1,700	853,33	-1000000	-1000000	-1000000	
1,720	849,58	-1000000	-1000000	-1000000	
1,740	848,72	-1000000	-1000000	-1000000	
1,760	850,35	-1000000	-1000000	-1000000	
1,780	853,65	-1000000	-1000000	-1000000	
1,800	857,00	-1000000	-1000000	-1000000	
1,820	859,19	-1000000	-1000000	-1000000	
1,840	859,56	-1000000	-1000000	-1000000	
1,860	858,10	-1000000	-1000000	-1000000	
1,880	855,99	-1000000	-1000000	-1000000	
