Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	311,63	-1000000	-1000000	-1000000	
0,02000	313,24	-1000000	-1000000	-1000000	
0,04000	314,83	-1000000	-1000000	-1000000	
0,06000	315,25	-1000000	-1000000	-1000000	
0,08000	316,31	-1000000	-1000000	-1000000	
0,1000	316,33	-1000000	-1000000	-1000000	
0,1200	314,20	-1000000	-1000000	-1000000	
0,1400	312,83	-1000000	-1000000	-1000000	
0,1600	310,27	-1000000	-1000000	-1000000	
0,1800	307,62	-1000000	-1000000	-1000000	
0,2000	306,54	-1000000	-1000000	-1000000	
0,2200	305,22	-1000000	-1000000	-1000000	
0,2400	305,52	-1000000	-1000000	-1000000	
0,2600	307,52	-1000000	-1000000	-1000000	
0,2800	308,72	-1000000	-1000000	-1000000	
0,3000	310,64	-1000000	-1000000	-1000000	
0,3200	312,39	-1000000	-1000000	-1000000	
0,3400	311,92	-1000000	-1000000	-1000000	
0,3600	312,65	-1000000	-1000000	-1000000	
0,3800	312,04	-1000000	-1000000	-1000000	
0,4000	309,96	-1000000	-1000000	-1000000	
0,4200	308,54	-1000000	-1000000	-1000000	
0,4400	307,06	-1000000	-1000000	-1000000	
0,4600	305,95	-1000000	-1000000	-1000000	
0,4800	307,98	-1000000	-1000000	-1000000	
0,5000	309,45	-1000000	-1000000	-1000000	
0,5200	311,63	-1000000	-1000000	-1000000	
0,5400	313,67	-1000000	-1000000	-1000000	
0,5600	313,11	-1000000	-1000000	-1000000	
0,5800	312,34	-1000000	-1000000	-1000000	
0,6000	310,73	-1000000	-1000000	-1000000	
0,6200	307,41	-1000000	-1000000	-1000000	
0,6400	306,05	-1000000	-1000000	-1000000	
0,6600	305,50	-1000000	-1000000	-1000000	
0,6800	305,52	-1000000	-1000000	-1000000	
0,7000	308,79	-1000000	-1000000	-1000000	
0,7200	311,95	-1000000	-1000000	-1000000	
0,7400	314,55	-1000000	-1000000	-1000000	
0,7600	316,99	-1000000	-1000000	-1000000	
0,7800	316,77	-1000000	-1000000	-1000000	
0,8000	313,72	-1000000	-1000000	-1000000	
0,8200	310,65	-1000000	-1000000	-1000000	
0,8400	306,25	-1000000	-1000000	-1000000	
0,8600	304,75	-1000000	-1000000	-1000000	
0,8800	304,93	-1000000	-1000000	-1000000	
0,9000	304,61	-1000000	-1000000	-1000000	
0,9200	306,19	-1000000	-1000000	-1000000	
0,9400	307,76	-1000000	-1000000	-1000000	
0,9600	307,15	-1000000	-1000000	-1000000	
0,9800	307,83	-1000000	-1000000	-1000000	
1,000	308,00	-1000000	-1000000	-1000000	
1,020	307,53	-1000000	-1000000	-1000000	
1,040	308,17	-1000000	-1000000	-1000000	
1,060	308,13	-1000000	-1000000	-1000000	
1,080	308,83	-1000000	-1000000	-1000000	
1,100	311,13	-1000000	-1000000	-1000000	
1,120	312,71	-1000000	-1000000	-1000000	
1,140	314,33	-1000000	-1000000	-1000000	
1,160	315,59	-1000000	-1000000	-1000000	
1,180	313,12	-1000000	-1000000	-1000000	
1,200	311,00	-1000000	-1000000	-1000000	
1,220	308,94	-1000000	-1000000	-1000000	
1,240	306,78	-1000000	-1000000	-1000000	
1,260	307,74	-1000000	-1000000	-1000000	
1,280	309,73	-1000000	-1000000	-1000000	
1,300	311,40	-1000000	-1000000	-1000000	
1,320	315,02	-1000000	-1000000	-1000000	
1,340	317,81	-1000000	-1000000	-1000000	
1,360	319,54	-1000000	-1000000	-1000000	
1,380	321,27	-1000000	-1000000	-1000000	
1,400	319,33	-1000000	-1000000	-1000000	
1,420	315,71	-1000000	-1000000	-1000000	
1,440	312,06	-1000000	-1000000	-1000000	
