Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	957,95	-1000000	-1000000	-1000000	
0,02000	955,20	-1000000	-1000000	-1000000	
0,04000	953,52	-1000000	-1000000	-1000000	
0,06000	954,26	-1000000	-1000000	-1000000	
0,08000	957,19	-1000000	-1000000	-1000000	
0,1000	960,57	-1000000	-1000000	-1000000	
0,1200	961,93	-1000000	-1000000	-1000000	
0,1400	960,14	-1000000	-1000000	-1000000	
0,1600	956,29	-1000000	-1000000	-1000000	
0,1800	953,35	-1000000	-1000000	-1000000	
0,2000	953,12	-1000000	-1000000	-1000000	
0,2200	954,64	-1000000	-1000000	-1000000	
0,2400	956,10	-1000000	-1000000	-1000000	
0,2600	956,28	-1000000	-1000000	-1000000	
0,2800	954,42	-1000000	-1000000	-1000000	
0,3000	950,91	-1000000	-1000000	-1000000	
0,3200	947,67	-1000000	-1000000	-1000000	
0,3400	947,24	-1000000	-1000000	-1000000	
0,3600	950,24	-1000000	-1000000	-1000000	
0,3800	954,50	-1000000	-1000000	-1000000	
0,4000	957,30	-1000000	-1000000	-1000000	
0,4200	957,53	-1000000	-1000000	-1000000	
0,4400	956,23	-1000000	-1000000	-1000000	
0,4600	954,43	-1000000	-1000000	-1000000	
0,4800	953,60	-1000000	-1000000	-1000000	
0,5000	954,49	-1000000	-1000000	-1000000	
0,5200	957,07	-1000000	-1000000	-1000000	
0,5400	959,82	-1000000	-1000000	-1000000	
0,5600	960,91	-1000000	-1000000	-1000000	
0,5800	959,69	-1000000	-1000000	-1000000	
0,6000	957,38	-1000000	-1000000	-1000000	
0,6200	954,70	-1000000	-1000000	-1000000	
0,6400	952,81	-1000000	-1000000	-1000000	
0,6600	951,98	-1000000	-1000000	-1000000	
0,6800	951,94	-1000000	-1000000	-1000000	
0,7000	952,25	-1000000	-1000000	-1000000	
0,7200	953,44	-1000000	-1000000	-1000000	
0,7400	955,16	-1000000	-1000000	-1000000	
0,7600	956,89	-1000000	-1000000	-1000000	
0,7800	957,94	-1000000	-1000000	-1000000	
0,8000	958,28	-1000000	-1000000	-1000000	
0,8200	957,16	-1000000	-1000000	-1000000	
0,8400	954,30	-1000000	-1000000	-1000000	
0,8600	950,12	-1000000	-1000000	-1000000	
0,8800	945,59	-1000000	-1000000	-1000000	
0,9000	942,38	-1000000	-1000000	-1000000	
0,9200	942,59	-1000000	-1000000	-1000000	
0,9400	945,69	-1000000	-1000000	-1000000	
0,9600	950,42	-1000000	-1000000	-1000000	
0,9800	955,55	-1000000	-1000000	-1000000	
1,000	959,31	-1000000	-1000000	-1000000	
1,020	960,21	-1000000	-1000000	-1000000	
1,040	958,63	-1000000	-1000000	-1000000	
1,060	955,83	-1000000	-1000000	-1000000	
1,080	952,94	-1000000	-1000000	-1000000	
1,100	950,12	-1000000	-1000000	-1000000	
1,120	948,58	-1000000	-1000000	-1000000	
1,140	949,88	-1000000	-1000000	-1000000	
1,160	953,95	-1000000	-1000000	-1000000	
1,180	958,96	-1000000	-1000000	-1000000	
1,200	962,39	-1000000	-1000000	-1000000	
1,220	961,91	-1000000	-1000000	-1000000	
1,240	957,11	-1000000	-1000000	-1000000	
1,260	950,92	-1000000	-1000000	-1000000	
1,280	948,00	-1000000	-1000000	-1000000	
1,300	950,16	-1000000	-1000000	-1000000	
1,320	955,18	-1000000	-1000000	-1000000	
1,340	959,27	-1000000	-1000000	-1000000	
1,360	959,07	-1000000	-1000000	-1000000	
1,380	954,80	-1000000	-1000000	-1000000	
1,400	948,79	-1000000	-1000000	-1000000	
1,420	944,58	-1000000	-1000000	-1000000	
1,440	944,39	-1000000	-1000000	-1000000	
1,460	947,87	-1000000	-1000000	-1000000	
1,480	952,61	-1000000	-1000000	-1000000	
1,500	955,99	-1000000	-1000000	-1000000	
1,520	956,77	-1000000	-1000000	-1000000	
1,540	954,87	-1000000	-1000000	-1000000	
1,560	951,44	-1000000	-1000000	-1000000	
1,580	948,27	-1000000	-1000000	-1000000	
1,600	947,02	-1000000	-1000000	-1000000	
1,620	947,69	-1000000	-1000000	-1000000	
1,640	948,91	-1000000	-1000000	-1000000	
1,660	949,65	-1000000	-1000000	-1000000	
1,680	949,95	-1000000	-1000000	-1000000	
1,700	950,03	-1000000	-1000000	-1000000	
1,720	950,26	-1000000	-1000000	-1000000	
1,740	951,16	-1000000	-1000000	-1000000	
1,760	952,99	-1000000	-1000000	-1000000	
1,780	955,27	-1000000	-1000000	-1000000	
1,800	956,51	-1000000	-1000000	-1000000	
1,820	955,11	-1000000	-1000000	-1000000	
1,840	951,10	-1000000	-1000000	-1000000	
1,860	945,96	-1000000	-1000000	-1000000	
1,880	942,64	-1000000	-1000000	-1000000	
1,900	943,98	-1000000	-1000000	-1000000	
1,920	948,48	-1000000	-1000000	-1000000	
1,940	951,60	-1000000	-1000000	-1000000	
1,960	950,03	-1000000	-1000000	-1000000	
1,980	943,98	-1000000	-1000000	-1000000	
2,000	936,98	-1000000	-1000000	-1000000	
2,020	933,26	-1000000	-1000000	-1000000	
2,040	936,29	-1000000	-1000000	-1000000	
2,060	945,60	-1000000	-1000000	-1000000	
2,080	956,31	-1000000	-1000000	-1000000	
2,100	962,84	-1000000	-1000000	-1000000	
2,120	963,18	-1000000	-1000000	-1000000	
2,140	958,32	-1000000	-1000000	-1000000	
2,160	951,22	-1000000	-1000000	-1000000	
2,180	945,08	-1000000	-1000000	-1000000	
2,200	943,50	-1000000	-1000000	-1000000	
2,220	947,16	-1000000	-1000000	-1000000	
2,240	953,46	-1000000	-1000000	-1000000	
2,260	958,13	-1000000	-1000000	-1000000	
2,280	958,64	-1000000	-1000000	-1000000	
2,300	954,87	-1000000	-1000000	-1000000	
2,320	949,40	-1000000	-1000000	-1000000	
2,340	944,56	-1000000	-1000000	-1000000	
2,360	942,87	-1000000	-1000000	-1000000	
2,380	945,19	-1000000	-1000000	-1000000	
2,400	950,50	-1000000	-1000000	-1000000	
2,420	957,13	-1000000	-1000000	-1000000	
2,440	963,81	-1000000	-1000000	-1000000	
2,460	968,98	-1000000	-1000000	-1000000	
2,480	969,82	-1000000	-1000000	-1000000	
2,500	964,38	-1000000	-1000000	-1000000	
2,520	954,61	-1000000	-1000000	-1000000	
2,540	945,66	-1000000	-1000000	-1000000	
2,560	940,95	-1000000	-1000000	-1000000	
2,580	941,15	-1000000	-1000000	-1000000	
2,600	944,58	-1000000	-1000000	-1000000	
2,620	949,95	-1000000	-1000000	-1000000	
2,640	954,71	-1000000	-1000000	-1000000	
2,660	955,96	-1000000	-1000000	-1000000	
2,680	953,27	-1000000	-1000000	-1000000	
2,700	949,61	-1000000	-1000000	-1000000	
2,720	947,36	-1000000	-1000000	-1000000	
2,740	947,20	-1000000	-1000000	-1000000	
2,760	948,13	-1000000	-1000000	-1000000	
2,780	949,63	-1000000	-1000000	-1000000	
2,800	951,14	-1000000	-1000000	-1000000	
2,820	953,15	-1000000	-1000000	-1000000	
2,840	955,17	-1000000	-1000000	-1000000	
2,860	956,79	-1000000	-1000000	-1000000	
2,880	957,75	-1000000	-1000000	-1000000	
2,900	958,52	-1000000	-1000000	-1000000	
2,920	958,36	-1000000	-1000000	-1000000	
2,940	958,03	-1000000	-1000000	-1000000	
2,960	958,16	-1000000	-1000000	-1000000	
2,980	959,42	-1000000	-1000000	-1000000	
3,000	960,56	-1000000	-1000000	-1000000	
3,020	959,95	-1000000	-1000000	-1000000	
3,040	956,97	-1000000	-1000000	-1000000	
3,060	953,45	-1000000	-1000000	-1000000	
3,080	950,13	-1000000	-1000000	-1000000	
3,100	947,52	-1000000	-1000000	-1000000	
3,120	945,27	-1000000	-1000000	-1000000	
3,140	944,46	-1000000	-1000000	-1000000	
3,160	945,58	-1000000	-1000000	-1000000	
3,180	947,75	-1000000	-1000000	-1000000	
3,200	949,27	-1000000	-1000000	-1000000	
3,220	950,83	-1000000	-1000000	-1000000	
3,240	952,68	-1000000	-1000000	-1000000	
3,260	954,84	-1000000	-1000000	-1000000	
3,280	956,69	-1000000	-1000000	-1000000	
3,300	959,62	-1000000	-1000000	-1000000	
3,320	962,84	-1000000	-1000000	-1000000	
3,340	963,39	-1000000	-1000000	-1000000	
3,360	960,27	-1000000	-1000000	-1000000	
3,380	956,80	-1000000	-1000000	-1000000	
3,400	955,20	-1000000	-1000000	-1000000	
3,420	955,33	-1000000	-1000000	-1000000	
3,440	955,48	-1000000	-1000000	-1000000	
3,460	956,70	-1000000	-1000000	-1000000	
3,480	958,86	-1000000	-1000000	-1000000	
3,500	960,87	-1000000	-1000000	-1000000	
3,520	961,43	-1000000	-1000000	-1000000	
3,540	959,68	-1000000	-1000000	-1000000	
3,560	954,98	-1000000	-1000000	-1000000	
3,580	949,45	-1000000	-1000000	-1000000	
3,600	946,30	-1000000	-1000000	-1000000	
3,620	947,48	-1000000	-1000000	-1000000	
3,640	951,39	-1000000	-1000000	-1000000	
3,660	955,14	-1000000	-1000000	-1000000	
3,680	956,28	-1000000	-1000000	-1000000	
3,700	955,77	-1000000	-1000000	-1000000	
3,720	955,24	-1000000	-1000000	-1000000	
3,740	955,56	-1000000	-1000000	-1000000	
3,760	956,77	-1000000	-1000000	-1000000	
3,780	958,92	-1000000	-1000000	-1000000	
3,800	960,05	-1000000	-1000000	-1000000	
3,820	957,28	-1000000	-1000000	-1000000	
3,840	950,66	-1000000	-1000000	-1000000	
3,860	945,40	-1000000	-1000000	-1000000	
3,880	945,54	-1000000	-1000000	-1000000	
3,900	949,63	-1000000	-1000000	-1000000	
3,920	953,79	-1000000	-1000000	-1000000	
3,940	956,07	-1000000	-1000000	-1000000	
3,960	955,78	-1000000	-1000000	-1000000	
3,980	954,49	-1000000	-1000000	-1000000	
4,000	954,50	-1000000	-1000000	-1000000	
4,020	956,77	-1000000	-1000000	-1000000	
4,040	959,15	-1000000	-1000000	-1000000	
4,060	960,03	-1000000	-1000000	-1000000	
4,080	959,60	-1000000	-1000000	-1000000	
4,100	959,82	-1000000	-1000000	-1000000	
4,120	960,34	-1000000	-1000000	-1000000	
4,140	959,91	-1000000	-1000000	-1000000	
4,160	957,75	-1000000	-1000000	-1000000	
4,180	956,30	-1000000	-1000000	-1000000	
4,200	957,26	-1000000	-1000000	-1000000	
4,220	960,43	-1000000	-1000000	-1000000	
4,240	963,58	-1000000	-1000000	-1000000	
4,260	965,03	-1000000	-1000000	-1000000	
4,280	963,10	-1000000	-1000000	-1000000	
4,300	958,52	-1000000	-1000000	-1000000	
4,320	953,52	-1000000	-1000000	-1000000	
4,340	951,18	-1000000	-1000000	-1000000	
4,360	952,18	-1000000	-1000000	-1000000	
4,380	956,31	-1000000	-1000000	-1000000	
4,400	960,83	-1000000	-1000000	-1000000	
4,420	963,28	-1000000	-1000000	-1000000	
4,440	961,88	-1000000	-1000000	-1000000	
4,460	958,06	-1000000	-1000000	-1000000	
4,480	955,23	-1000000	-1000000	-1000000	
4,500	956,55	-1000000	-1000000	-1000000	
4,520	961,70	-1000000	-1000000	-1000000	
4,540	968,35	-1000000	-1000000	-1000000	
4,560	972,34	-1000000	-1000000	-1000000	
4,580	971,61	-1000000	-1000000	-1000000	
4,600	967,29	-1000000	-1000000	-1000000	
4,620	961,87	-1000000	-1000000	-1000000	
4,640	958,08	-1000000	-1000000	-1000000	
4,660	957,79	-1000000	-1000000	-1000000	
4,680	959,89	-1000000	-1000000	-1000000	
4,700	962,31	-1000000	-1000000	-1000000	
4,720	963,82	-1000000	-1000000	-1000000	
4,740	962,84	-1000000	-1000000	-1000000	
4,760	958,56	-1000000	-1000000	-1000000	
4,780	953,19	-1000000	-1000000	-1000000	
4,800	949,41	-1000000	-1000000	-1000000	
4,820	949,58	-1000000	-1000000	-1000000	
4,840	953,65	-1000000	-1000000	-1000000	
4,860	959,62	-1000000	-1000000	-1000000	
4,880	965,11	-1000000	-1000000	-1000000	
4,900	969,26	-1000000	-1000000	-1000000	
4,920	971,08	-1000000	-1000000	-1000000	
4,940	970,32	-1000000	-1000000	-1000000	
4,960	967,96	-1000000	-1000000	-1000000	
4,980	964,29	-1000000	-1000000	-1000000	
5,000	959,23	-1000000	-1000000	-1000000	
5,020	953,90	-1000000	-1000000	-1000000	
5,040	950,50	-1000000	-1000000	-1000000	
5,060	949,50	-1000000	-1000000	-1000000	
5,080	949,88	-1000000	-1000000	-1000000	
5,100	950,84	-1000000	-1000000	-1000000	
5,120	951,65	-1000000	-1000000	-1000000	
5,140	951,47	-1000000	-1000000	-1000000	
5,160	950,04	-1000000	-1000000	-1000000	
5,180	948,54	-1000000	-1000000	-1000000	
5,200	948,30	-1000000	-1000000	-1000000	
5,220	949,80	-1000000	-1000000	-1000000	
5,240	952,76	-1000000	-1000000	-1000000	
5,260	956,14	-1000000	-1000000	-1000000	
5,280	959,85	-1000000	-1000000	-1000000	
