Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	766,44	-1000000	-1000000	-1000000	
0,02000	766,70	-1000000	-1000000	-1000000	
0,04000	766,72	-1000000	-1000000	-1000000	
0,06000	765,65	-1000000	-1000000	-1000000	
0,08000	763,44	-1000000	-1000000	-1000000	
0,1000	762,44	-1000000	-1000000	-1000000	
0,1200	762,10	-1000000	-1000000	-1000000	
0,1400	762,13	-1000000	-1000000	-1000000	
0,1600	764,92	-1000000	-1000000	-1000000	
0,1800	767,47	-1000000	-1000000	-1000000	
0,2000	767,85	-1000000	-1000000	-1000000	
0,2200	769,25	-1000000	-1000000	-1000000	
0,2400	769,68	-1000000	-1000000	-1000000	
0,2600	768,11	-1000000	-1000000	-1000000	
0,2800	767,73	-1000000	-1000000	-1000000	
0,3000	766,82	-1000000	-1000000	-1000000	
0,3200	766,01	-1000000	-1000000	-1000000	
0,3400	766,37	-1000000	-1000000	-1000000	
0,3600	765,54	-1000000	-1000000	-1000000	
0,3800	766,74	-1000000	-1000000	-1000000	
0,4000	768,85	-1000000	-1000000	-1000000	
0,4200	768,38	-1000000	-1000000	-1000000	
0,4400	770,72	-1000000	-1000000	-1000000	
0,4600	772,00	-1000000	-1000000	-1000000	
0,4800	769,92	-1000000	-1000000	-1000000	
0,5000	769,90	-1000000	-1000000	-1000000	
0,5200	767,13	-1000000	-1000000	-1000000	
0,5400	763,89	-1000000	-1000000	-1000000	
0,5600	766,23	-1000000	-1000000	-1000000	
0,5800	767,99	-1000000	-1000000	-1000000	
0,6000	769,02	-1000000	-1000000	-1000000	
0,6200	770,50	-1000000	-1000000	-1000000	
0,6400	768,43	-1000000	-1000000	-1000000	
0,6600	766,44	-1000000	-1000000	-1000000	
0,6800	766,38	-1000000	-1000000	-1000000	
0,7000	765,87	-1000000	-1000000	-1000000	
0,7200	767,15	-1000000	-1000000	-1000000	
0,7400	768,40	-1000000	-1000000	-1000000	
0,7600	767,91	-1000000	-1000000	-1000000	
0,7800	767,94	-1000000	-1000000	-1000000	
0,8000	767,33	-1000000	-1000000	-1000000	
0,8200	767,22	-1000000	-1000000	-1000000	
0,8400	769,35	-1000000	-1000000	-1000000	
0,8600	770,19	-1000000	-1000000	-1000000	
0,8800	771,33	-1000000	-1000000	-1000000	
0,9000	772,21	-1000000	-1000000	-1000000	
0,9200	770,34	-1000000	-1000000	-1000000	
0,9400	770,47	-1000000	-1000000	-1000000	
0,9600	771,33	-1000000	-1000000	-1000000	
0,9800	771,31	-1000000	-1000000	-1000000	
1,000	772,95	-1000000	-1000000	-1000000	
1,020	772,92	-1000000	-1000000	-1000000	
1,040	771,23	-1000000	-1000000	-1000000	
1,060	769,79	-1000000	-1000000	-1000000	
1,080	767,82	-1000000	-1000000	-1000000	
1,100	767,28	-1000000	-1000000	-1000000	
1,120	768,47	-1000000	-1000000	-1000000	
1,140	770,19	-1000000	-1000000	-1000000	
1,160	772,04	-1000000	-1000000	-1000000	
1,180	773,27	-1000000	-1000000	-1000000	
1,200	772,91	-1000000	-1000000	-1000000	
1,220	771,82	-1000000	-1000000	-1000000	
1,240	770,69	-1000000	-1000000	-1000000	
1,260	768,51	-1000000	-1000000	-1000000	
1,280	768,46	-1000000	-1000000	-1000000	
1,300	769,82	-1000000	-1000000	-1000000	
1,320	769,83	-1000000	-1000000	-1000000	
1,340	771,34	-1000000	-1000000	-1000000	
1,360	771,68	-1000000	-1000000	-1000000	
1,380	770,54	-1000000	-1000000	-1000000	
1,400	771,17	-1000000	-1000000	-1000000	
1,420	769,85	-1000000	-1000000	-1000000	
1,440	768,15	-1000000	-1000000	-1000000	
1,460	767,05	-1000000	-1000000	-1000000	
1,480	764,34	-1000000	-1000000	-1000000	
1,500	763,75	-1000000	-1000000	-1000000	
1,520	765,34	-1000000	-1000000	-1000000	
1,540	767,19	-1000000	-1000000	-1000000	
1,560	770,01	-1000000	-1000000	-1000000	
1,580	770,78	-1000000	-1000000	-1000000	
1,600	769,16	-1000000	-1000000	-1000000	
1,620	767,70	-1000000	-1000000	-1000000	
1,640	765,95	-1000000	-1000000	-1000000	
1,660	764,97	-1000000	-1000000	-1000000	
1,680	766,09	-1000000	-1000000	-1000000	
1,700	766,70	-1000000	-1000000	-1000000	
1,720	767,53	-1000000	-1000000	-1000000	
1,740	769,25	-1000000	-1000000	-1000000	
1,760	769,46	-1000000	-1000000	-1000000	
1,780	769,81	-1000000	-1000000	-1000000	
1,800	770,12	-1000000	-1000000	-1000000	
