Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	360,90	-1000000	-1000000	-1000000	
0,02000	361,79	-1000000	-1000000	-1000000	
0,04000	361,74	-1000000	-1000000	-1000000	
0,06000	361,34	-1000000	-1000000	-1000000	
0,08000	360,52	-1000000	-1000000	-1000000	
0,1000	359,69	-1000000	-1000000	-1000000	
0,1200	359,69	-1000000	-1000000	-1000000	
0,1400	360,70	-1000000	-1000000	-1000000	
0,1600	361,90	-1000000	-1000000	-1000000	
0,1800	362,55	-1000000	-1000000	-1000000	
0,2000	362,61	-1000000	-1000000	-1000000	
0,2200	362,50	-1000000	-1000000	-1000000	
0,2400	362,29	-1000000	-1000000	-1000000	
0,2600	362,11	-1000000	-1000000	-1000000	
0,2800	361,62	-1000000	-1000000	-1000000	
0,3000	360,96	-1000000	-1000000	-1000000	
0,3200	359,93	-1000000	-1000000	-1000000	
0,3400	358,97	-1000000	-1000000	-1000000	
0,3600	358,50	-1000000	-1000000	-1000000	
0,3800	359,22	-1000000	-1000000	-1000000	
0,4000	361,48	-1000000	-1000000	-1000000	
0,4200	365,10	-1000000	-1000000	-1000000	
0,4400	368,26	-1000000	-1000000	-1000000	
0,4600	368,91	-1000000	-1000000	-1000000	
0,4800	365,93	-1000000	-1000000	-1000000	
0,5000	360,17	-1000000	-1000000	-1000000	
0,5200	354,17	-1000000	-1000000	-1000000	
0,5400	349,89	-1000000	-1000000	-1000000	
0,5600	348,98	-1000000	-1000000	-1000000	
0,5800	351,95	-1000000	-1000000	-1000000	
0,6000	358,03	-1000000	-1000000	-1000000	
0,6200	364,43	-1000000	-1000000	-1000000	
0,6400	368,79	-1000000	-1000000	-1000000	
0,6600	369,43	-1000000	-1000000	-1000000	
0,6800	366,74	-1000000	-1000000	-1000000	
0,7000	361,55	-1000000	-1000000	-1000000	
0,7200	355,91	-1000000	-1000000	-1000000	
0,7400	351,59	-1000000	-1000000	-1000000	
0,7600	349,81	-1000000	-1000000	-1000000	
0,7800	350,52	-1000000	-1000000	-1000000	
0,8000	353,05	-1000000	-1000000	-1000000	
0,8200	356,67	-1000000	-1000000	-1000000	
0,8400	360,02	-1000000	-1000000	-1000000	
0,8600	362,22	-1000000	-1000000	-1000000	
0,8800	362,44	-1000000	-1000000	-1000000	
0,9000	361,42	-1000000	-1000000	-1000000	
0,9200	359,91	-1000000	-1000000	-1000000	
0,9400	359,57	-1000000	-1000000	-1000000	
0,9600	360,29	-1000000	-1000000	-1000000	
0,9800	361,76	-1000000	-1000000	-1000000	
1,000	362,02	-1000000	-1000000	-1000000	
1,020	360,84	-1000000	-1000000	-1000000	
1,040	358,91	-1000000	-1000000	-1000000	
1,060	357,80	-1000000	-1000000	-1000000	
1,080	357,33	-1000000	-1000000	-1000000	
1,100	357,39	-1000000	-1000000	-1000000	
1,120	357,74	-1000000	-1000000	-1000000	
1,140	358,41	-1000000	-1000000	-1000000	
1,160	358,69	-1000000	-1000000	-1000000	
1,180	358,28	-1000000	-1000000	-1000000	
1,200	357,24	-1000000	-1000000	-1000000	
1,220	355,95	-1000000	-1000000	-1000000	
1,240	355,37	-1000000	-1000000	-1000000	
1,260	356,30	-1000000	-1000000	-1000000	
1,280	358,57	-1000000	-1000000	-1000000	
1,300	361,00	-1000000	-1000000	-1000000	
1,320	361,91	-1000000	-1000000	-1000000	
1,340	360,28	-1000000	-1000000	-1000000	
1,360	356,75	-1000000	-1000000	-1000000	
1,380	353,29	-1000000	-1000000	-1000000	
1,400	351,75	-1000000	-1000000	-1000000	
1,420	352,34	-1000000	-1000000	-1000000	
1,440	354,28	-1000000	-1000000	-1000000	
1,460	356,62	-1000000	-1000000	-1000000	
1,480	358,82	-1000000	-1000000	-1000000	
1,500	360,63	-1000000	-1000000	-1000000	
1,520	361,58	-1000000	-1000000	-1000000	
1,540	361,63	-1000000	-1000000	-1000000	
1,560	361,24	-1000000	-1000000	-1000000	
1,580	360,49	-1000000	-1000000	-1000000	
1,600	359,60	-1000000	-1000000	-1000000	
1,620	359,41	-1000000	-1000000	-1000000	
1,640	360,19	-1000000	-1000000	-1000000	
1,660	361,37	-1000000	-1000000	-1000000	
1,680	362,48	-1000000	-1000000	-1000000	
1,700	363,28	-1000000	-1000000	-1000000	
1,720	363,66	-1000000	-1000000	-1000000	
1,740	363,66	-1000000	-1000000	-1000000	
1,760	363,58	-1000000	-1000000	-1000000	
1,780	363,10	-1000000	-1000000	-1000000	
1,800	362,76	-1000000	-1000000	-1000000	
1,820	363,11	-1000000	-1000000	-1000000	
1,840	364,15	-1000000	-1000000	-1000000	
1,860	364,74	-1000000	-1000000	-1000000	
1,880	364,44	-1000000	-1000000	-1000000	
1,900	362,96	-1000000	-1000000	-1000000	
1,920	360,82	-1000000	-1000000	-1000000	
1,940	358,42	-1000000	-1000000	-1000000	
1,960	357,37	-1000000	-1000000	-1000000	
1,980	357,67	-1000000	-1000000	-1000000	
2,000	359,05	-1000000	-1000000	-1000000	
2,020	360,65	-1000000	-1000000	-1000000	
2,040	362,26	-1000000	-1000000	-1000000	
2,060	363,29	-1000000	-1000000	-1000000	
2,080	364,02	-1000000	-1000000	-1000000	
2,100	364,49	-1000000	-1000000	-1000000	
2,120	365,66	-1000000	-1000000	-1000000	
2,140	367,81	-1000000	-1000000	-1000000	
2,160	370,80	-1000000	-1000000	-1000000	
2,180	372,36	-1000000	-1000000	-1000000	
2,200	370,92	-1000000	-1000000	-1000000	
2,220	366,74	-1000000	-1000000	-1000000	
2,240	362,81	-1000000	-1000000	-1000000	
2,260	361,66	-1000000	-1000000	-1000000	
2,280	363,93	-1000000	-1000000	-1000000	
2,300	368,54	-1000000	-1000000	-1000000	
2,320	373,61	-1000000	-1000000	-1000000	
2,340	376,70	-1000000	-1000000	-1000000	
2,360	376,21	-1000000	-1000000	-1000000	
2,380	372,86	-1000000	-1000000	-1000000	
2,400	368,87	-1000000	-1000000	-1000000	
2,420	366,57	-1000000	-1000000	-1000000	
2,440	366,47	-1000000	-1000000	-1000000	
2,460	368,05	-1000000	-1000000	-1000000	
2,480	370,12	-1000000	-1000000	-1000000	
2,500	371,77	-1000000	-1000000	-1000000	
2,520	371,83	-1000000	-1000000	-1000000	
2,540	370,30	-1000000	-1000000	-1000000	
2,560	367,97	-1000000	-1000000	-1000000	
2,580	365,68	-1000000	-1000000	-1000000	
2,600	364,11	-1000000	-1000000	-1000000	
2,620	363,66	-1000000	-1000000	-1000000	
2,640	364,29	-1000000	-1000000	-1000000	
2,660	365,31	-1000000	-1000000	-1000000	
2,680	365,88	-1000000	-1000000	-1000000	
2,700	365,87	-1000000	-1000000	-1000000	
2,720	365,81	-1000000	-1000000	-1000000	
