Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	567,09	-1000000	-1000000	-1000000	
0,02000	566,65	-1000000	-1000000	-1000000	
0,04000	566,34	-1000000	-1000000	-1000000	
0,06000	565,73	-1000000	-1000000	-1000000	
0,08000	564,85	-1000000	-1000000	-1000000	
0,1000	564,79	-1000000	-1000000	-1000000	
0,1200	565,48	-1000000	-1000000	-1000000	
0,1400	566,54	-1000000	-1000000	-1000000	
0,1600	567,54	-1000000	-1000000	-1000000	
0,1800	568,13	-1000000	-1000000	-1000000	
0,2000	567,78	-1000000	-1000000	-1000000	
0,2200	566,64	-1000000	-1000000	-1000000	
0,2400	565,35	-1000000	-1000000	-1000000	
0,2600	563,97	-1000000	-1000000	-1000000	
0,2800	562,65	-1000000	-1000000	-1000000	
0,3000	561,70	-1000000	-1000000	-1000000	
0,3200	562,03	-1000000	-1000000	-1000000	
0,3400	563,07	-1000000	-1000000	-1000000	
0,3600	564,07	-1000000	-1000000	-1000000	
0,3800	564,69	-1000000	-1000000	-1000000	
0,4000	565,39	-1000000	-1000000	-1000000	
0,4200	565,50	-1000000	-1000000	-1000000	
0,4400	565,10	-1000000	-1000000	-1000000	
0,4600	564,51	-1000000	-1000000	-1000000	
0,4800	563,81	-1000000	-1000000	-1000000	
0,5000	562,94	-1000000	-1000000	-1000000	
0,5200	562,53	-1000000	-1000000	-1000000	
0,5400	562,66	-1000000	-1000000	-1000000	
0,5600	563,27	-1000000	-1000000	-1000000	
0,5800	564,11	-1000000	-1000000	-1000000	
0,6000	565,45	-1000000	-1000000	-1000000	
0,6200	566,65	-1000000	-1000000	-1000000	
0,6400	566,64	-1000000	-1000000	-1000000	
0,6600	565,38	-1000000	-1000000	-1000000	
0,6800	564,24	-1000000	-1000000	-1000000	
0,7000	563,91	-1000000	-1000000	-1000000	
0,7200	564,29	-1000000	-1000000	-1000000	
0,7400	565,12	-1000000	-1000000	-1000000	
0,7600	566,13	-1000000	-1000000	-1000000	
0,7800	566,71	-1000000	-1000000	-1000000	
0,8000	566,65	-1000000	-1000000	-1000000	
0,8200	566,34	-1000000	-1000000	-1000000	
0,8400	566,22	-1000000	-1000000	-1000000	
0,8600	565,95	-1000000	-1000000	-1000000	
0,8800	565,36	-1000000	-1000000	-1000000	
0,9000	565,03	-1000000	-1000000	-1000000	
0,9200	564,79	-1000000	-1000000	-1000000	
0,9400	564,10	-1000000	-1000000	-1000000	
0,9600	563,19	-1000000	-1000000	-1000000	
0,9800	562,98	-1000000	-1000000	-1000000	
1,000	563,66	-1000000	-1000000	-1000000	
1,020	564,80	-1000000	-1000000	-1000000	
1,040	565,86	-1000000	-1000000	-1000000	
1,060	566,48	-1000000	-1000000	-1000000	
1,080	566,32	-1000000	-1000000	-1000000	
1,100	565,82	-1000000	-1000000	-1000000	
1,120	565,52	-1000000	-1000000	-1000000	
1,140	565,51	-1000000	-1000000	-1000000	
1,160	565,50	-1000000	-1000000	-1000000	
1,180	565,21	-1000000	-1000000	-1000000	
1,200	564,81	-1000000	-1000000	-1000000	
1,220	564,60	-1000000	-1000000	-1000000	
1,240	564,53	-1000000	-1000000	-1000000	
1,260	564,41	-1000000	-1000000	-1000000	
1,280	564,23	-1000000	-1000000	-1000000	
1,300	564,02	-1000000	-1000000	-1000000	
1,320	563,77	-1000000	-1000000	-1000000	
1,340	563,56	-1000000	-1000000	-1000000	
1,360	563,48	-1000000	-1000000	-1000000	
1,380	563,40	-1000000	-1000000	-1000000	
1,400	563,64	-1000000	-1000000	-1000000	
1,420	564,33	-1000000	-1000000	-1000000	
1,440	565,14	-1000000	-1000000	-1000000	
1,460	565,64	-1000000	-1000000	-1000000	
1,480	565,76	-1000000	-1000000	-1000000	
1,500	565,58	-1000000	-1000000	-1000000	
1,520	565,01	-1000000	-1000000	-1000000	
1,540	564,12	-1000000	-1000000	-1000000	
1,560	563,24	-1000000	-1000000	-1000000	
1,580	562,83	-1000000	-1000000	-1000000	
1,600	562,83	-1000000	-1000000	-1000000	
1,620	563,02	-1000000	-1000000	-1000000	
1,640	563,28	-1000000	-1000000	-1000000	
1,660	563,64	-1000000	-1000000	-1000000	
1,680	563,91	-1000000	-1000000	-1000000	
1,700	564,18	-1000000	-1000000	-1000000	
1,720	564,62	-1000000	-1000000	-1000000	
1,740	564,99	-1000000	-1000000	-1000000	
1,760	565,13	-1000000	-1000000	-1000000	
1,780	564,97	-1000000	-1000000	-1000000	
1,800	564,76	-1000000	-1000000	-1000000	
1,820	564,58	-1000000	-1000000	-1000000	
1,840	564,41	-1000000	-1000000	-1000000	
1,860	564,03	-1000000	-1000000	-1000000	
1,880	563,64	-1000000	-1000000	-1000000	
1,900	563,99	-1000000	-1000000	-1000000	
1,920	565,30	-1000000	-1000000	-1000000	
1,940	566,81	-1000000	-1000000	-1000000	
1,960	567,35	-1000000	-1000000	-1000000	
1,980	567,00	-1000000	-1000000	-1000000	
2,000	566,37	-1000000	-1000000	-1000000	
2,020	565,90	-1000000	-1000000	-1000000	
2,040	565,15	-1000000	-1000000	-1000000	
2,060	563,95	-1000000	-1000000	-1000000	
2,080	562,89	-1000000	-1000000	-1000000	
2,100	562,73	-1000000	-1000000	-1000000	
2,120	563,55	-1000000	-1000000	-1000000	
2,140	564,50	-1000000	-1000000	-1000000	
2,160	564,89	-1000000	-1000000	-1000000	
2,180	564,74	-1000000	-1000000	-1000000	
2,200	564,02	-1000000	-1000000	-1000000	
2,220	563,03	-1000000	-1000000	-1000000	
2,240	562,44	-1000000	-1000000	-1000000	
2,260	562,78	-1000000	-1000000	-1000000	
2,280	563,23	-1000000	-1000000	-1000000	
2,300	562,88	-1000000	-1000000	-1000000	
2,320	561,72	-1000000	-1000000	-1000000	
2,340	560,63	-1000000	-1000000	-1000000	
2,360	559,89	-1000000	-1000000	-1000000	
2,380	559,79	-1000000	-1000000	-1000000	
2,400	560,28	-1000000	-1000000	-1000000	
2,420	561,14	-1000000	-1000000	-1000000	
2,440	561,53	-1000000	-1000000	-1000000	
2,460	561,45	-1000000	-1000000	-1000000	
2,480	560,75	-1000000	-1000000	-1000000	
2,500	559,66	-1000000	-1000000	-1000000	
2,520	558,75	-1000000	-1000000	-1000000	
2,540	558,83	-1000000	-1000000	-1000000	
2,560	559,25	-1000000	-1000000	-1000000	
2,580	559,65	-1000000	-1000000	-1000000	
2,600	560,17	-1000000	-1000000	-1000000	
2,620	561,15	-1000000	-1000000	-1000000	
2,640	562,02	-1000000	-1000000	-1000000	
2,660	562,18	-1000000	-1000000	-1000000	
2,680	561,75	-1000000	-1000000	-1000000	
2,700	561,30	-1000000	-1000000	-1000000	
2,720	560,71	-1000000	-1000000	-1000000	
2,740	559,89	-1000000	-1000000	-1000000	
2,760	559,28	-1000000	-1000000	-1000000	
2,780	559,49	-1000000	-1000000	-1000000	
2,800	560,31	-1000000	-1000000	-1000000	
2,820	561,17	-1000000	-1000000	-1000000	
2,840	561,75	-1000000	-1000000	-1000000	
2,860	561,90	-1000000	-1000000	-1000000	
2,880	561,37	-1000000	-1000000	-1000000	
2,900	560,70	-1000000	-1000000	-1000000	
2,920	560,66	-1000000	-1000000	-1000000	
2,940	561,07	-1000000	-1000000	-1000000	
2,960	561,32	-1000000	-1000000	-1000000	
2,980	561,45	-1000000	-1000000	-1000000	
3,000	561,96	-1000000	-1000000	-1000000	
3,020	562,75	-1000000	-1000000	-1000000	
3,040	563,41	-1000000	-1000000	-1000000	
3,060	563,49	-1000000	-1000000	-1000000	
3,080	562,97	-1000000	-1000000	-1000000	
3,100	562,29	-1000000	-1000000	-1000000	
3,120	561,76	-1000000	-1000000	-1000000	
3,140	561,50	-1000000	-1000000	-1000000	
