Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	280,31	-1000000	-1000000	-1000000	
0,02000	280,02	-1000000	-1000000	-1000000	
0,04000	280,19	-1000000	-1000000	-1000000	
0,06000	280,24	-1000000	-1000000	-1000000	
0,08000	282,13	-1000000	-1000000	-1000000	
0,1000	283,31	-1000000	-1000000	-1000000	
0,1200	283,98	-1000000	-1000000	-1000000	
0,1400	286,07	-1000000	-1000000	-1000000	
0,1600	285,56	-1000000	-1000000	-1000000	
0,1800	283,52	-1000000	-1000000	-1000000	
0,2000	283,02	-1000000	-1000000	-1000000	
0,2200	281,51	-1000000	-1000000	-1000000	
0,2400	280,10	-1000000	-1000000	-1000000	
0,2600	280,30	-1000000	-1000000	-1000000	
0,2800	279,81	-1000000	-1000000	-1000000	
0,3000	280,15	-1000000	-1000000	-1000000	
0,3200	280,58	-1000000	-1000000	-1000000	
0,3400	279,81	-1000000	-1000000	-1000000	
0,3600	279,90	-1000000	-1000000	-1000000	
0,3800	279,57	-1000000	-1000000	-1000000	
0,4000	278,79	-1000000	-1000000	-1000000	
0,4200	280,06	-1000000	-1000000	-1000000	
0,4400	279,70	-1000000	-1000000	-1000000	
0,4600	278,60	-1000000	-1000000	-1000000	
0,4800	279,97	-1000000	-1000000	-1000000	
0,5000	280,27	-1000000	-1000000	-1000000	
0,5200	279,84	-1000000	-1000000	-1000000	
0,5400	281,13	-1000000	-1000000	-1000000	
0,5600	281,15	-1000000	-1000000	-1000000	
0,5800	280,89	-1000000	-1000000	-1000000	
0,6000	280,99	-1000000	-1000000	-1000000	
0,6200	279,66	-1000000	-1000000	-1000000	
0,6400	278,98	-1000000	-1000000	-1000000	
0,6600	278,48	-1000000	-1000000	-1000000	
0,6800	277,82	-1000000	-1000000	-1000000	
0,7000	279,49	-1000000	-1000000	-1000000	
0,7200	280,89	-1000000	-1000000	-1000000	
0,7400	281,83	-1000000	-1000000	-1000000	
0,7600	284,75	-1000000	-1000000	-1000000	
0,7800	285,48	-1000000	-1000000	-1000000	
0,8000	284,37	-1000000	-1000000	-1000000	
0,8200	284,50	-1000000	-1000000	-1000000	
0,8400	283,42	-1000000	-1000000	-1000000	
0,8600	282,24	-1000000	-1000000	-1000000	
0,8800	283,32	-1000000	-1000000	-1000000	
0,9000	284,21	-1000000	-1000000	-1000000	
0,9200	285,91	-1000000	-1000000	-1000000	
0,9400	288,15	-1000000	-1000000	-1000000	
0,9600	288,64	-1000000	-1000000	-1000000	
0,9800	288,55	-1000000	-1000000	-1000000	
1,000	287,25	-1000000	-1000000	-1000000	
1,020	284,60	-1000000	-1000000	-1000000	
1,040	283,89	-1000000	-1000000	-1000000	
1,060	283,09	-1000000	-1000000	-1000000	
1,080	282,75	-1000000	-1000000	-1000000	
1,100	285,15	-1000000	-1000000	-1000000	
1,120	286,35	-1000000	-1000000	-1000000	
1,140	286,38	-1000000	-1000000	-1000000	
1,160	287,71	-1000000	-1000000	-1000000	
1,180	286,94	-1000000	-1000000	-1000000	
1,200	285,41	-1000000	-1000000	-1000000	
1,220	285,16	-1000000	-1000000	-1000000	
1,240	283,86	-1000000	-1000000	-1000000	
1,260	282,98	-1000000	-1000000	-1000000	
1,280	283,16	-1000000	-1000000	-1000000	
1,300	283,13	-1000000	-1000000	-1000000	
1,320	284,20	-1000000	-1000000	-1000000	
1,340	284,39	-1000000	-1000000	-1000000	
1,360	283,26	-1000000	-1000000	-1000000	
1,380	283,65	-1000000	-1000000	-1000000	
1,400	282,77	-1000000	-1000000	-1000000	
1,420	281,46	-1000000	-1000000	-1000000	
1,440	282,64	-1000000	-1000000	-1000000	
1,460	282,73	-1000000	-1000000	-1000000	
1,480	282,19	-1000000	-1000000	-1000000	
1,500	283,23	-1000000	-1000000	-1000000	
1,520	283,10	-1000000	-1000000	-1000000	
1,540	283,04	-1000000	-1000000	-1000000	
1,560	283,64	-1000000	-1000000	-1000000	
1,580	282,99	-1000000	-1000000	-1000000	
1,600	283,04	-1000000	-1000000	-1000000	
1,620	282,95	-1000000	-1000000	-1000000	
1,640	281,86	-1000000	-1000000	-1000000	
1,660	282,41	-1000000	-1000000	-1000000	
1,680	282,35	-1000000	-1000000	-1000000	
1,700	281,85	-1000000	-1000000	-1000000	
1,720	283,80	-1000000	-1000000	-1000000	
1,740	284,15	-1000000	-1000000	-1000000	
1,760	283,06	-1000000	-1000000	-1000000	
1,780	283,53	-1000000	-1000000	-1000000	
1,800	283,14	-1000000	-1000000	-1000000	
1,820	282,34	-1000000	-1000000	-1000000	
1,840	282,72	-1000000	-1000000	-1000000	
1,860	282,36	-1000000	-1000000	-1000000	
1,880	282,79	-1000000	-1000000	-1000000	
1,900	283,67	-1000000	-1000000	-1000000	
1,920	283,00	-1000000	-1000000	-1000000	
1,940	282,75	-1000000	-1000000	-1000000	
1,960	281,86	-1000000	-1000000	-1000000	
1,980	280,26	-1000000	-1000000	-1000000	
2,000	280,83	-1000000	-1000000	-1000000	
2,020	281,06	-1000000	-1000000	-1000000	
2,040	280,84	-1000000	-1000000	-1000000	
2,060	282,55	-1000000	-1000000	-1000000	
2,080	282,88	-1000000	-1000000	-1000000	
2,100	282,49	-1000000	-1000000	-1000000	
2,120	283,45	-1000000	-1000000	-1000000	
2,140	283,40	-1000000	-1000000	-1000000	
2,160	283,21	-1000000	-1000000	-1000000	
2,180	283,75	-1000000	-1000000	-1000000	
2,200	283,20	-1000000	-1000000	-1000000	
2,220	283,27	-1000000	-1000000	-1000000	
2,240	283,29	-1000000	-1000000	-1000000	
2,260	282,70	-1000000	-1000000	-1000000	
2,280	283,89	-1000000	-1000000	-1000000	
2,300	284,70	-1000000	-1000000	-1000000	
2,320	284,70	-1000000	-1000000	-1000000	
2,340	286,17	-1000000	-1000000	-1000000	
2,360	286,11	-1000000	-1000000	-1000000	
2,380	284,73	-1000000	-1000000	-1000000	
2,400	285,11	-1000000	-1000000	-1000000	
2,420	284,40	-1000000	-1000000	-1000000	
2,440	283,58	-1000000	-1000000	-1000000	
2,460	283,72	-1000000	-1000000	-1000000	
2,480	283,27	-1000000	-1000000	-1000000	
2,500	283,02	-1000000	-1000000	-1000000	
2,520	283,50	-1000000	-1000000	-1000000	
2,540	283,12	-1000000	-1000000	-1000000	
2,560	283,90	-1000000	-1000000	-1000000	
2,580	284,46	-1000000	-1000000	-1000000	
2,600	284,53	-1000000	-1000000	-1000000	
2,620	285,89	-1000000	-1000000	-1000000	
2,640	286,03	-1000000	-1000000	-1000000	
2,660	284,67	-1000000	-1000000	-1000000	
2,680	284,55	-1000000	-1000000	-1000000	
2,700	284,20	-1000000	-1000000	-1000000	
2,720	283,93	-1000000	-1000000	-1000000	
2,740	285,39	-1000000	-1000000	-1000000	
2,760	286,04	-1000000	-1000000	-1000000	
2,780	286,81	-1000000	-1000000	-1000000	
2,800	287,62	-1000000	-1000000	-1000000	
2,820	287,00	-1000000	-1000000	-1000000	
2,840	285,88	-1000000	-1000000	-1000000	
2,860	285,15	-1000000	-1000000	-1000000	
2,880	284,18	-1000000	-1000000	-1000000	
2,900	284,86	-1000000	-1000000	-1000000	
2,920	284,93	-1000000	-1000000	-1000000	
2,940	284,21	-1000000	-1000000	-1000000	
2,960	284,72	-1000000	-1000000	-1000000	
2,980	284,60	-1000000	-1000000	-1000000	
3,000	284,40	-1000000	-1000000	-1000000	
3,020	285,45	-1000000	-1000000	-1000000	
3,040	286,07	-1000000	-1000000	-1000000	
3,060	286,11	-1000000	-1000000	-1000000	
3,080	286,41	-1000000	-1000000	-1000000	
3,100	285,14	-1000000	-1000000	-1000000	
3,120	284,41	-1000000	-1000000	-1000000	
3,140	283,97	-1000000	-1000000	-1000000	
3,160	283,35	-1000000	-1000000	-1000000	
3,180	283,28	-1000000	-1000000	-1000000	
3,200	283,36	-1000000	-1000000	-1000000	
3,220	283,08	-1000000	-1000000	-1000000	
3,240	284,36	-1000000	-1000000	-1000000	
3,260	284,57	-1000000	-1000000	-1000000	
3,280	284,38	-1000000	-1000000	-1000000	
3,300	285,60	-1000000	-1000000	-1000000	
3,320	285,77	-1000000	-1000000	-1000000	
3,340	285,15	-1000000	-1000000	-1000000	
3,360	285,25	-1000000	-1000000	-1000000	
3,380	284,72	-1000000	-1000000	-1000000	
3,400	284,26	-1000000	-1000000	-1000000	
3,420	284,66	-1000000	-1000000	-1000000	
3,440	284,47	-1000000	-1000000	-1000000	
3,460	284,99	-1000000	-1000000	-1000000	
3,480	285,43	-1000000	-1000000	-1000000	
3,500	285,70	-1000000	-1000000	-1000000	
3,520	286,93	-1000000	-1000000	-1000000	
3,540	287,20	-1000000	-1000000	-1000000	
3,560	286,25	-1000000	-1000000	-1000000	
3,580	285,93	-1000000	-1000000	-1000000	
3,600	284,50	-1000000	-1000000	-1000000	
3,620	282,67	-1000000	-1000000	-1000000	
3,640	282,78	-1000000	-1000000	-1000000	
3,660	282,77	-1000000	-1000000	-1000000	
3,680	283,27	-1000000	-1000000	-1000000	
3,700	284,89	-1000000	-1000000	-1000000	
3,720	285,76	-1000000	-1000000	-1000000	
3,740	286,23	-1000000	-1000000	-1000000	
3,760	286,34	-1000000	-1000000	-1000000	
3,780	285,07	-1000000	-1000000	-1000000	
3,800	284,69	-1000000	-1000000	-1000000	
3,820	284,13	-1000000	-1000000	-1000000	
3,840	282,96	-1000000	-1000000	-1000000	
3,860	282,81	-1000000	-1000000	-1000000	
