Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	186,47	-1000000	-1000000	-1000000	
0,02000	185,07	-1000000	-1000000	-1000000	
0,04000	183,92	-1000000	-1000000	-1000000	
0,06000	183,68	-1000000	-1000000	-1000000	
0,08000	184,10	-1000000	-1000000	-1000000	
0,1000	184,80	-1000000	-1000000	-1000000	
0,1200	185,38	-1000000	-1000000	-1000000	
0,1400	185,75	-1000000	-1000000	-1000000	
0,1600	185,71	-1000000	-1000000	-1000000	
0,1800	185,33	-1000000	-1000000	-1000000	
0,2000	184,91	-1000000	-1000000	-1000000	
0,2200	184,80	-1000000	-1000000	-1000000	
0,2400	185,39	-1000000	-1000000	-1000000	
0,2600	186,44	-1000000	-1000000	-1000000	
0,2800	187,39	-1000000	-1000000	-1000000	
0,3000	187,55	-1000000	-1000000	-1000000	
0,3200	186,77	-1000000	-1000000	-1000000	
0,3400	185,27	-1000000	-1000000	-1000000	
0,3600	183,68	-1000000	-1000000	-1000000	
0,3800	182,54	-1000000	-1000000	-1000000	
0,4000	182,59	-1000000	-1000000	-1000000	
0,4200	183,72	-1000000	-1000000	-1000000	
0,4400	185,68	-1000000	-1000000	-1000000	
0,4600	188,00	-1000000	-1000000	-1000000	
0,4800	189,97	-1000000	-1000000	-1000000	
0,5000	190,97	-1000000	-1000000	-1000000	
0,5200	190,70	-1000000	-1000000	-1000000	
0,5400	189,22	-1000000	-1000000	-1000000	
0,5600	186,98	-1000000	-1000000	-1000000	
0,5800	184,39	-1000000	-1000000	-1000000	
0,6000	182,05	-1000000	-1000000	-1000000	
0,6200	180,80	-1000000	-1000000	-1000000	
0,6400	180,99	-1000000	-1000000	-1000000	
0,6600	182,15	-1000000	-1000000	-1000000	
0,6800	183,72	-1000000	-1000000	-1000000	
0,7000	184,77	-1000000	-1000000	-1000000	
0,7200	185,19	-1000000	-1000000	-1000000	
0,7400	184,90	-1000000	-1000000	-1000000	
0,7600	183,54	-1000000	-1000000	-1000000	
0,7800	181,13	-1000000	-1000000	-1000000	
0,8000	178,93	-1000000	-1000000	-1000000	
0,8200	178,00	-1000000	-1000000	-1000000	
0,8400	178,64	-1000000	-1000000	-1000000	
0,8600	180,48	-1000000	-1000000	-1000000	
0,8800	182,61	-1000000	-1000000	-1000000	
0,9000	184,16	-1000000	-1000000	-1000000	
0,9200	184,45	-1000000	-1000000	-1000000	
0,9400	183,50	-1000000	-1000000	-1000000	
0,9600	181,80	-1000000	-1000000	-1000000	
