Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	1003,5	-1000000	-1000000	-1000000	
0,02000	1002,1	-1000000	-1000000	-1000000	
0,04000	1000,8	-1000000	-1000000	-1000000	
0,06000	999,79	-1000000	-1000000	-1000000	
0,08000	998,89	-1000000	-1000000	-1000000	
0,1000	999,20	-1000000	-1000000	-1000000	
0,1200	1002,3	-1000000	-1000000	-1000000	
0,1400	1007,8	-1000000	-1000000	-1000000	
0,1600	1014,0	-1000000	-1000000	-1000000	
0,1800	1019,6	-1000000	-1000000	-1000000	
0,2000	1024,0	-1000000	-1000000	-1000000	
0,2200	1026,1	-1000000	-1000000	-1000000	
0,2400	1025,2	-1000000	-1000000	-1000000	
0,2600	1021,7	-1000000	-1000000	-1000000	
0,2800	1015,4	-1000000	-1000000	-1000000	
0,3000	1006,5	-1000000	-1000000	-1000000	
0,3200	996,80	-1000000	-1000000	-1000000	
0,3400	988,15	-1000000	-1000000	-1000000	
0,3600	983,94	-1000000	-1000000	-1000000	
0,3800	987,13	-1000000	-1000000	-1000000	
0,4000	997,11	-1000000	-1000000	-1000000	
0,4200	1009,4	-1000000	-1000000	-1000000	
0,4400	1018,9	-1000000	-1000000	-1000000	
0,4600	1022,4	-1000000	-1000000	-1000000	
0,4800	1020,0	-1000000	-1000000	-1000000	
0,5000	1013,6	-1000000	-1000000	-1000000	
0,5200	1006,5	-1000000	-1000000	-1000000	
0,5400	1002,0	-1000000	-1000000	-1000000	
0,5600	1000,4	-1000000	-1000000	-1000000	
0,5800	999,97	-1000000	-1000000	-1000000	
0,6000	999,23	-1000000	-1000000	-1000000	
0,6200	998,26	-1000000	-1000000	-1000000	
0,6400	998,63	-1000000	-1000000	-1000000	
0,6600	1001,5	-1000000	-1000000	-1000000	
0,6800	1006,7	-1000000	-1000000	-1000000	
0,7000	1011,2	-1000000	-1000000	-1000000	
0,7200	1011,6	-1000000	-1000000	-1000000	
0,7400	1006,1	-1000000	-1000000	-1000000	
0,7600	995,04	-1000000	-1000000	-1000000	
0,7800	982,34	-1000000	-1000000	-1000000	
