Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	970,96	-1000000	-1000000	-1000000	
0,02000	966,82	-1000000	-1000000	-1000000	
0,04000	966,64	-1000000	-1000000	-1000000	
0,06000	964,02	-1000000	-1000000	-1000000	
0,08000	959,64	-1000000	-1000000	-1000000	
0,1000	960,35	-1000000	-1000000	-1000000	
0,1200	956,67	-1000000	-1000000	-1000000	
0,1400	953,87	-1000000	-1000000	-1000000	
0,1600	956,42	-1000000	-1000000	-1000000	
0,1800	955,54	-1000000	-1000000	-1000000	
0,2000	957,98	-1000000	-1000000	-1000000	
0,2200	962,11	-1000000	-1000000	-1000000	
0,2400	959,05	-1000000	-1000000	-1000000	
0,2600	956,95	-1000000	-1000000	-1000000	
0,2800	956,46	-1000000	-1000000	-1000000	
0,3000	951,94	-1000000	-1000000	-1000000	
0,3200	951,06	-1000000	-1000000	-1000000	
0,3400	950,47	-1000000	-1000000	-1000000	
0,3600	950,35	-1000000	-1000000	-1000000	
0,3800	956,39	-1000000	-1000000	-1000000	
0,4000	961,02	-1000000	-1000000	-1000000	
0,4200	965,75	-1000000	-1000000	-1000000	
0,4400	972,49	-1000000	-1000000	-1000000	
0,4600	973,15	-1000000	-1000000	-1000000	
0,4800	970,08	-1000000	-1000000	-1000000	
0,5000	964,51	-1000000	-1000000	-1000000	
0,5200	954,53	-1000000	-1000000	-1000000	
0,5400	948,64	-1000000	-1000000	-1000000	
0,5600	946,85	-1000000	-1000000	-1000000	
0,5800	945,94	-1000000	-1000000	-1000000	
0,6000	951,29	-1000000	-1000000	-1000000	
0,6200	957,68	-1000000	-1000000	-1000000	
0,6400	962,66	-1000000	-1000000	-1000000	
0,6600	967,48	-1000000	-1000000	-1000000	
0,6800	966,95	-1000000	-1000000	-1000000	
0,7000	964,85	-1000000	-1000000	-1000000	
0,7200	963,86	-1000000	-1000000	-1000000	
0,7400	959,26	-1000000	-1000000	-1000000	
0,7600	957,16	-1000000	-1000000	-1000000	
0,7800	957,08	-1000000	-1000000	-1000000	
0,8000	954,77	-1000000	-1000000	-1000000	
0,8200	957,08	-1000000	-1000000	-1000000	
0,8400	959,00	-1000000	-1000000	-1000000	
0,8600	956,75	-1000000	-1000000	-1000000	
0,8800	957,67	-1000000	-1000000	-1000000	
0,9000	958,47	-1000000	-1000000	-1000000	
0,9200	958,81	-1000000	-1000000	-1000000	
0,9400	962,96	-1000000	-1000000	-1000000	
0,9600	964,90	-1000000	-1000000	-1000000	
0,9800	963,91	-1000000	-1000000	-1000000	
1,000	964,16	-1000000	-1000000	-1000000	
1,020	962,58	-1000000	-1000000	-1000000	
1,040	962,71	-1000000	-1000000	-1000000	
1,060	964,82	-1000000	-1000000	-1000000	
1,080	964,96	-1000000	-1000000	-1000000	
1,100	965,35	-1000000	-1000000	-1000000	
1,120	963,40	-1000000	-1000000	-1000000	
1,140	957,39	-1000000	-1000000	-1000000	
1,160	954,22	-1000000	-1000000	-1000000	
1,180	952,60	-1000000	-1000000	-1000000	
1,200	953,40	-1000000	-1000000	-1000000	
1,220	959,06	-1000000	-1000000	-1000000	
1,240	962,73	-1000000	-1000000	-1000000	
1,260	964,28	-1000000	-1000000	-1000000	
1,280	966,26	-1000000	-1000000	-1000000	
1,300	963,56	-1000000	-1000000	-1000000	
1,320	959,04	-1000000	-1000000	-1000000	
1,340	956,47	-1000000	-1000000	-1000000	
1,360	955,39	-1000000	-1000000	-1000000	
1,380	959,33	-1000000	-1000000	-1000000	
1,400	966,70	-1000000	-1000000	-1000000	
1,420	973,05	-1000000	-1000000	-1000000	
1,440	977,64	-1000000	-1000000	-1000000	
1,460	977,01	-1000000	-1000000	-1000000	
1,480	971,45	-1000000	-1000000	-1000000	
1,500	965,05	-1000000	-1000000	-1000000	
1,520	958,45	-1000000	-1000000	-1000000	
1,540	954,93	-1000000	-1000000	-1000000	
1,560	955,93	-1000000	-1000000	-1000000	
1,580	958,09	-1000000	-1000000	-1000000	
1,600	961,49	-1000000	-1000000	-1000000	
1,620	964,61	-1000000	-1000000	-1000000	
1,640	962,90	-1000000	-1000000	-1000000	
1,660	958,57	-1000000	-1000000	-1000000	
1,680	952,87	-1000000	-1000000	-1000000	
1,700	947,71	-1000000	-1000000	-1000000	
1,720	947,80	-1000000	-1000000	-1000000	
1,740	949,37	-1000000	-1000000	-1000000	
1,760	950,22	-1000000	-1000000	-1000000	
1,780	952,88	-1000000	-1000000	-1000000	
1,800	954,07	-1000000	-1000000	-1000000	
1,820	953,89	-1000000	-1000000	-1000000	
1,840	953,82	-1000000	-1000000	-1000000	
1,860	954,14	-1000000	-1000000	-1000000	
1,880	957,02	-1000000	-1000000	-1000000	
1,900	960,86	-1000000	-1000000	-1000000	
1,920	961,95	-1000000	-1000000	-1000000	
1,940	961,97	-1000000	-1000000	-1000000	
1,960	958,89	-1000000	-1000000	-1000000	
1,980	952,83	-1000000	-1000000	-1000000	
2,000	949,46	-1000000	-1000000	-1000000	
2,020	948,42	-1000000	-1000000	-1000000	
2,040	949,29	-1000000	-1000000	-1000000	
2,060	954,12	-1000000	-1000000	-1000000	
2,080	958,91	-1000000	-1000000	-1000000	
2,100	963,10	-1000000	-1000000	-1000000	
2,120	966,83	-1000000	-1000000	-1000000	
2,140	967,66	-1000000	-1000000	-1000000	
2,160	968,29	-1000000	-1000000	-1000000	
2,180	968,58	-1000000	-1000000	-1000000	
2,200	965,78	-1000000	-1000000	-1000000	
2,220	962,58	-1000000	-1000000	-1000000	
2,240	959,67	-1000000	-1000000	-1000000	
2,260	955,57	-1000000	-1000000	-1000000	
2,280	952,18	-1000000	-1000000	-1000000	
2,300	949,54	-1000000	-1000000	-1000000	
2,320	948,45	-1000000	-1000000	-1000000	
2,340	950,09	-1000000	-1000000	-1000000	
2,360	952,60	-1000000	-1000000	-1000000	
2,380	955,16	-1000000	-1000000	-1000000	
2,400	958,18	-1000000	-1000000	-1000000	
2,420	959,29	-1000000	-1000000	-1000000	
2,440	961,31	-1000000	-1000000	-1000000	
2,460	965,56	-1000000	-1000000	-1000000	
2,480	970,27	-1000000	-1000000	-1000000	
2,500	975,89	-1000000	-1000000	-1000000	
2,520	981,04	-1000000	-1000000	-1000000	
2,540	983,42	-1000000	-1000000	-1000000	
2,560	982,89	-1000000	-1000000	-1000000	
2,580	977,74	-1000000	-1000000	-1000000	
2,600	970,14	-1000000	-1000000	-1000000	
2,620	963,71	-1000000	-1000000	-1000000	
2,640	957,62	-1000000	-1000000	-1000000	
2,660	952,76	-1000000	-1000000	-1000000	
2,680	950,89	-1000000	-1000000	-1000000	
2,700	952,05	-1000000	-1000000	-1000000	
2,720	955,77	-1000000	-1000000	-1000000	
2,740	960,00	-1000000	-1000000	-1000000	
2,760	962,68	-1000000	-1000000	-1000000	
2,780	964,73	-1000000	-1000000	-1000000	
2,800	965,75	-1000000	-1000000	-1000000	
2,820	964,91	-1000000	-1000000	-1000000	
2,840	963,06	-1000000	-1000000	-1000000	
2,860	961,23	-1000000	-1000000	-1000000	
2,880	961,98	-1000000	-1000000	-1000000	
2,900	965,36	-1000000	-1000000	-1000000	
2,920	966,85	-1000000	-1000000	-1000000	
2,940	966,70	-1000000	-1000000	-1000000	
2,960	965,74	-1000000	-1000000	-1000000	
2,980	964,08	-1000000	-1000000	-1000000	
3,000	963,98	-1000000	-1000000	-1000000	
3,020	964,69	-1000000	-1000000	-1000000	
3,040	964,17	-1000000	-1000000	-1000000	
3,060	963,75	-1000000	-1000000	-1000000	
