Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	907,53	-1000000	-1000000	-1000000	
0,02000	908,88	-1000000	-1000000	-1000000	
0,04000	905,16	-1000000	-1000000	-1000000	
0,06000	898,50	-1000000	-1000000	-1000000	
0,08000	890,71	-1000000	-1000000	-1000000	
0,1000	887,18	-1000000	-1000000	-1000000	
0,1200	886,21	-1000000	-1000000	-1000000	
0,1400	887,08	-1000000	-1000000	-1000000	
0,1600	889,31	-1000000	-1000000	-1000000	
0,1800	890,47	-1000000	-1000000	-1000000	
0,2000	887,49	-1000000	-1000000	-1000000	
0,2200	885,13	-1000000	-1000000	-1000000	
0,2400	881,35	-1000000	-1000000	-1000000	
0,2600	881,44	-1000000	-1000000	-1000000	
0,2800	885,36	-1000000	-1000000	-1000000	
0,3000	890,14	-1000000	-1000000	-1000000	
0,3200	892,07	-1000000	-1000000	-1000000	
0,3400	889,61	-1000000	-1000000	-1000000	
0,3600	879,46	-1000000	-1000000	-1000000	
0,3800	868,33	-1000000	-1000000	-1000000	
0,4000	860,37	-1000000	-1000000	-1000000	
0,4200	858,76	-1000000	-1000000	-1000000	
0,4400	866,50	-1000000	-1000000	-1000000	
0,4600	880,79	-1000000	-1000000	-1000000	
0,4800	896,52	-1000000	-1000000	-1000000	
0,5000	908,88	-1000000	-1000000	-1000000	
0,5200	914,22	-1000000	-1000000	-1000000	
0,5400	911,22	-1000000	-1000000	-1000000	
0,5600	906,03	-1000000	-1000000	-1000000	
0,5800	899,32	-1000000	-1000000	-1000000	
0,6000	895,40	-1000000	-1000000	-1000000	
0,6200	892,56	-1000000	-1000000	-1000000	
0,6400	889,26	-1000000	-1000000	-1000000	
0,6600	885,76	-1000000	-1000000	-1000000	
0,6800	883,44	-1000000	-1000000	-1000000	
0,7000	880,13	-1000000	-1000000	-1000000	
0,7200	880,78	-1000000	-1000000	-1000000	
0,7400	882,98	-1000000	-1000000	-1000000	
0,7600	887,30	-1000000	-1000000	-1000000	
0,7800	893,88	-1000000	-1000000	-1000000	
0,8000	899,46	-1000000	-1000000	-1000000	
0,8200	903,41	-1000000	-1000000	-1000000	
0,8400	906,16	-1000000	-1000000	-1000000	
0,8600	906,76	-1000000	-1000000	-1000000	
0,8800	905,71	-1000000	-1000000	-1000000	
0,9000	904,82	-1000000	-1000000	-1000000	
0,9200	900,25	-1000000	-1000000	-1000000	
0,9400	894,77	-1000000	-1000000	-1000000	
0,9600	888,87	-1000000	-1000000	-1000000	
0,9800	882,88	-1000000	-1000000	-1000000	
1,000	877,27	-1000000	-1000000	-1000000	
1,020	873,42	-1000000	-1000000	-1000000	
1,040	869,32	-1000000	-1000000	-1000000	
1,060	870,00	-1000000	-1000000	-1000000	
1,080	873,13	-1000000	-1000000	-1000000	
1,100	880,84	-1000000	-1000000	-1000000	
1,120	890,92	-1000000	-1000000	-1000000	
1,140	899,01	-1000000	-1000000	-1000000	
1,160	903,06	-1000000	-1000000	-1000000	
1,180	904,60	-1000000	-1000000	-1000000	
1,200	902,53	-1000000	-1000000	-1000000	
1,220	900,79	-1000000	-1000000	-1000000	
1,240	902,04	-1000000	-1000000	-1000000	
1,260	906,06	-1000000	-1000000	-1000000	
1,280	913,95	-1000000	-1000000	-1000000	
1,300	919,77	-1000000	-1000000	-1000000	
1,320	920,06	-1000000	-1000000	-1000000	
1,340	914,12	-1000000	-1000000	-1000000	
1,360	903,39	-1000000	-1000000	-1000000	
1,380	889,02	-1000000	-1000000	-1000000	
1,400	879,93	-1000000	-1000000	-1000000	
1,420	875,35	-1000000	-1000000	-1000000	
1,440	877,76	-1000000	-1000000	-1000000	
1,460	884,35	-1000000	-1000000	-1000000	
1,480	891,30	-1000000	-1000000	-1000000	
1,500	896,37	-1000000	-1000000	-1000000	
1,520	899,21	-1000000	-1000000	-1000000	
1,540	897,41	-1000000	-1000000	-1000000	
1,560	897,25	-1000000	-1000000	-1000000	
1,580	898,23	-1000000	-1000000	-1000000	
1,600	898,18	-1000000	-1000000	-1000000	
1,620	897,94	-1000000	-1000000	-1000000	
1,640	894,60	-1000000	-1000000	-1000000	
1,660	886,86	-1000000	-1000000	-1000000	
1,680	877,68	-1000000	-1000000	-1000000	
1,700	869,71	-1000000	-1000000	-1000000	
1,720	864,76	-1000000	-1000000	-1000000	
1,740	866,70	-1000000	-1000000	-1000000	
1,760	871,16	-1000000	-1000000	-1000000	
1,780	880,93	-1000000	-1000000	-1000000	
1,800	892,72	-1000000	-1000000	-1000000	
1,820	902,91	-1000000	-1000000	-1000000	
1,840	909,21	-1000000	-1000000	-1000000	
1,860	910,26	-1000000	-1000000	-1000000	
1,880	902,75	-1000000	-1000000	-1000000	
1,900	892,81	-1000000	-1000000	-1000000	
1,920	882,15	-1000000	-1000000	-1000000	
1,940	875,31	-1000000	-1000000	-1000000	
1,960	874,86	-1000000	-1000000	-1000000	
1,980	878,69	-1000000	-1000000	-1000000	
2,000	884,92	-1000000	-1000000	-1000000	
2,020	891,89	-1000000	-1000000	-1000000	
2,040	896,94	-1000000	-1000000	-1000000	
2,060	902,86	-1000000	-1000000	-1000000	
2,080	914,87	-1000000	-1000000	-1000000	
2,100	928,25	-1000000	-1000000	-1000000	
2,120	942,41	-1000000	-1000000	-1000000	
2,140	949,94	-1000000	-1000000	-1000000	
2,160	945,84	-1000000	-1000000	-1000000	
2,180	931,10	-1000000	-1000000	-1000000	
2,200	911,79	-1000000	-1000000	-1000000	
2,220	892,83	-1000000	-1000000	-1000000	
2,240	883,00	-1000000	-1000000	-1000000	
2,260	881,65	-1000000	-1000000	-1000000	
2,280	888,33	-1000000	-1000000	-1000000	
2,300	897,77	-1000000	-1000000	-1000000	
2,320	902,01	-1000000	-1000000	-1000000	
2,340	898,32	-1000000	-1000000	-1000000	
2,360	891,02	-1000000	-1000000	-1000000	
2,380	884,36	-1000000	-1000000	-1000000	
2,400	883,72	-1000000	-1000000	-1000000	
2,420	892,23	-1000000	-1000000	-1000000	
2,440	903,64	-1000000	-1000000	-1000000	
2,460	914,46	-1000000	-1000000	-1000000	
2,480	916,97	-1000000	-1000000	-1000000	
2,500	910,97	-1000000	-1000000	-1000000	
2,520	901,67	-1000000	-1000000	-1000000	
2,540	893,48	-1000000	-1000000	-1000000	
2,560	887,06	-1000000	-1000000	-1000000	
2,580	888,16	-1000000	-1000000	-1000000	
2,600	890,64	-1000000	-1000000	-1000000	
2,620	893,14	-1000000	-1000000	-1000000	
2,640	894,86	-1000000	-1000000	-1000000	
2,660	895,66	-1000000	-1000000	-1000000	
2,680	895,48	-1000000	-1000000	-1000000	
2,700	896,38	-1000000	-1000000	-1000000	
2,720	895,48	-1000000	-1000000	-1000000	
2,740	893,24	-1000000	-1000000	-1000000	
2,760	889,43	-1000000	-1000000	-1000000	
