Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	356,56	-1000000	-1000000	-1000000	
0,02000	355,65	-1000000	-1000000	-1000000	
0,04000	354,86	-1000000	-1000000	-1000000	
0,06000	353,62	-1000000	-1000000	-1000000	
0,08000	352,90	-1000000	-1000000	-1000000	
0,1000	352,57	-1000000	-1000000	-1000000	
0,1200	353,29	-1000000	-1000000	-1000000	
0,1400	355,42	-1000000	-1000000	-1000000	
0,1600	357,89	-1000000	-1000000	-1000000	
0,1800	358,96	-1000000	-1000000	-1000000	
0,2000	358,39	-1000000	-1000000	-1000000	
0,2200	356,10	-1000000	-1000000	-1000000	
0,2400	351,88	-1000000	-1000000	-1000000	
0,2600	347,42	-1000000	-1000000	-1000000	
0,2800	343,55	-1000000	-1000000	-1000000	
0,3000	341,06	-1000000	-1000000	-1000000	
0,3200	340,07	-1000000	-1000000	-1000000	
0,3400	340,33	-1000000	-1000000	-1000000	
0,3600	341,75	-1000000	-1000000	-1000000	
0,3800	344,70	-1000000	-1000000	-1000000	
0,4000	347,88	-1000000	-1000000	-1000000	
0,4200	351,08	-1000000	-1000000	-1000000	
0,4400	354,04	-1000000	-1000000	-1000000	
0,4600	356,35	-1000000	-1000000	-1000000	
0,4800	357,60	-1000000	-1000000	-1000000	
0,5000	357,63	-1000000	-1000000	-1000000	
0,5200	356,18	-1000000	-1000000	-1000000	
0,5400	354,34	-1000000	-1000000	-1000000	
0,5600	352,66	-1000000	-1000000	-1000000	
0,5800	351,29	-1000000	-1000000	-1000000	
0,6000	350,75	-1000000	-1000000	-1000000	
0,6200	350,58	-1000000	-1000000	-1000000	
0,6400	350,28	-1000000	-1000000	-1000000	
0,6600	350,22	-1000000	-1000000	-1000000	
0,6800	350,06	-1000000	-1000000	-1000000	
0,7000	348,95	-1000000	-1000000	-1000000	
0,7200	347,58	-1000000	-1000000	-1000000	
0,7400	346,90	-1000000	-1000000	-1000000	
0,7600	346,94	-1000000	-1000000	-1000000	
0,7800	347,57	-1000000	-1000000	-1000000	
0,8000	347,52	-1000000	-1000000	-1000000	
0,8200	346,82	-1000000	-1000000	-1000000	
0,8400	346,47	-1000000	-1000000	-1000000	
0,8600	346,92	-1000000	-1000000	-1000000	
0,8800	347,31	-1000000	-1000000	-1000000	
0,9000	347,14	-1000000	-1000000	-1000000	
0,9200	346,64	-1000000	-1000000	-1000000	
0,9400	345,74	-1000000	-1000000	-1000000	
0,9600	344,49	-1000000	-1000000	-1000000	
0,9800	343,31	-1000000	-1000000	-1000000	
1,000	342,16	-1000000	-1000000	-1000000	
1,020	341,77	-1000000	-1000000	-1000000	
1,040	342,42	-1000000	-1000000	-1000000	
1,060	343,67	-1000000	-1000000	-1000000	
1,080	344,93	-1000000	-1000000	-1000000	
1,100	346,10	-1000000	-1000000	-1000000	
1,120	347,19	-1000000	-1000000	-1000000	
