Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	548,36	-1000000	-1000000	-1000000	
0,02000	546,84	-1000000	-1000000	-1000000	
0,04000	544,12	-1000000	-1000000	-1000000	
0,06000	544,63	-1000000	-1000000	-1000000	
0,08000	545,19	-1000000	-1000000	-1000000	
0,1000	547,17	-1000000	-1000000	-1000000	
0,1200	548,81	-1000000	-1000000	-1000000	
0,1400	549,39	-1000000	-1000000	-1000000	
0,1600	548,98	-1000000	-1000000	-1000000	
0,1800	549,88	-1000000	-1000000	-1000000	
0,2000	548,38	-1000000	-1000000	-1000000	
0,2200	548,17	-1000000	-1000000	-1000000	
0,2400	546,92	-1000000	-1000000	-1000000	
0,2600	544,88	-1000000	-1000000	-1000000	
0,2800	543,11	-1000000	-1000000	-1000000	
0,3000	543,18	-1000000	-1000000	-1000000	
0,3200	544,22	-1000000	-1000000	-1000000	
0,3400	546,22	-1000000	-1000000	-1000000	
0,3600	546,69	-1000000	-1000000	-1000000	
0,3800	546,05	-1000000	-1000000	-1000000	
0,4000	546,33	-1000000	-1000000	-1000000	
0,4200	544,58	-1000000	-1000000	-1000000	
0,4400	543,91	-1000000	-1000000	-1000000	
0,4600	542,67	-1000000	-1000000	-1000000	
0,4800	541,47	-1000000	-1000000	-1000000	
0,5000	540,77	-1000000	-1000000	-1000000	
0,5200	541,05	-1000000	-1000000	-1000000	
0,5400	539,18	-1000000	-1000000	-1000000	
0,5600	540,44	-1000000	-1000000	-1000000	
0,5800	541,18	-1000000	-1000000	-1000000	
0,6000	543,08	-1000000	-1000000	-1000000	
0,6200	544,95	-1000000	-1000000	-1000000	
0,6400	545,62	-1000000	-1000000	-1000000	
0,6600	543,95	-1000000	-1000000	-1000000	
0,6800	543,17	-1000000	-1000000	-1000000	
0,7000	540,88	-1000000	-1000000	-1000000	
0,7200	539,75	-1000000	-1000000	-1000000	
0,7400	541,08	-1000000	-1000000	-1000000	
0,7600	541,27	-1000000	-1000000	-1000000	
0,7800	542,91	-1000000	-1000000	-1000000	
0,8000	544,67	-1000000	-1000000	-1000000	
0,8200	546,08	-1000000	-1000000	-1000000	
0,8400	547,55	-1000000	-1000000	-1000000	
0,8600	549,21	-1000000	-1000000	-1000000	
0,8800	546,87	-1000000	-1000000	-1000000	
0,9000	546,56	-1000000	-1000000	-1000000	
0,9200	544,64	-1000000	-1000000	-1000000	
0,9400	543,60	-1000000	-1000000	-1000000	
0,9600	542,88	-1000000	-1000000	-1000000	
0,9800	543,05	-1000000	-1000000	-1000000	
1,000	542,25	-1000000	-1000000	-1000000	
1,020	543,65	-1000000	-1000000	-1000000	
1,040	543,05	-1000000	-1000000	-1000000	
1,060	543,16	-1000000	-1000000	-1000000	
1,080	544,19	-1000000	-1000000	-1000000	
1,100	544,84	-1000000	-1000000	-1000000	
1,120	545,49	-1000000	-1000000	-1000000	
1,140	546,35	-1000000	-1000000	-1000000	
1,160	546,87	-1000000	-1000000	-1000000	
1,180	547,88	-1000000	-1000000	-1000000	
1,200	548,85	-1000000	-1000000	-1000000	
1,220	547,36	-1000000	-1000000	-1000000	
1,240	547,08	-1000000	-1000000	-1000000	
1,260	544,90	-1000000	-1000000	-1000000	
1,280	544,47	-1000000	-1000000	-1000000	
1,300	544,55	-1000000	-1000000	-1000000	
1,320	545,04	-1000000	-1000000	-1000000	
1,340	544,46	-1000000	-1000000	-1000000	
1,360	544,74	-1000000	-1000000	-1000000	
1,380	542,15	-1000000	-1000000	-1000000	
1,400	542,12	-1000000	-1000000	-1000000	
1,420	542,60	-1000000	-1000000	-1000000	
1,440	542,80	-1000000	-1000000	-1000000	
1,460	544,06	-1000000	-1000000	-1000000	
1,480	545,51	-1000000	-1000000	-1000000	
1,500	545,52	-1000000	-1000000	-1000000	
1,520	546,94	-1000000	-1000000	-1000000	
1,540	547,14	-1000000	-1000000	-1000000	
1,560	545,10	-1000000	-1000000	-1000000	
1,580	544,62	-1000000	-1000000	-1000000	
1,600	542,11	-1000000	-1000000	-1000000	
1,620	541,47	-1000000	-1000000	-1000000	
1,640	542,67	-1000000	-1000000	-1000000	
1,660	544,99	-1000000	-1000000	-1000000	
1,680	546,71	-1000000	-1000000	-1000000	
1,700	549,65	-1000000	-1000000	-1000000	
1,720	548,22	-1000000	-1000000	-1000000	
1,740	548,26	-1000000	-1000000	-1000000	
1,760	547,62	-1000000	-1000000	-1000000	
1,780	546,18	-1000000	-1000000	-1000000	
1,800	544,34	-1000000	-1000000	-1000000	
1,820	543,38	-1000000	-1000000	-1000000	
1,840	541,23	-1000000	-1000000	-1000000	
1,860	542,36	-1000000	-1000000	-1000000	
1,880	544,07	-1000000	-1000000	-1000000	
1,900	545,69	-1000000	-1000000	-1000000	
1,920	548,99	-1000000	-1000000	-1000000	
1,940	549,99	-1000000	-1000000	-1000000	
1,960	548,38	-1000000	-1000000	-1000000	
1,980	545,56	-1000000	-1000000	-1000000	
