Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	722,51	-1000000	-1000000	-1000000	
0,02000	722,67	-1000000	-1000000	-1000000	
0,04000	721,86	-1000000	-1000000	-1000000	
0,06000	722,07	-1000000	-1000000	-1000000	
0,08000	722,50	-1000000	-1000000	-1000000	
0,1000	721,39	-1000000	-1000000	-1000000	
0,1200	721,43	-1000000	-1000000	-1000000	
0,1400	721,24	-1000000	-1000000	-1000000	
0,1600	719,97	-1000000	-1000000	-1000000	
0,1800	719,62	-1000000	-1000000	-1000000	
0,2000	718,74	-1000000	-1000000	-1000000	
0,2200	718,23	-1000000	-1000000	-1000000	
0,2400	719,11	-1000000	-1000000	-1000000	
0,2600	719,28	-1000000	-1000000	-1000000	
0,2800	719,52	-1000000	-1000000	-1000000	
0,3000	720,10	-1000000	-1000000	-1000000	
0,3200	718,69	-1000000	-1000000	-1000000	
0,3400	717,42	-1000000	-1000000	-1000000	
0,3600	716,69	-1000000	-1000000	-1000000	
0,3800	716,36	-1000000	-1000000	-1000000	
0,4000	717,57	-1000000	-1000000	-1000000	
0,4200	718,52	-1000000	-1000000	-1000000	
0,4400	719,22	-1000000	-1000000	-1000000	
0,4600	720,89	-1000000	-1000000	-1000000	
0,4800	720,76	-1000000	-1000000	-1000000	
0,5000	720,62	-1000000	-1000000	-1000000	
0,5200	721,56	-1000000	-1000000	-1000000	
0,5400	720,10	-1000000	-1000000	-1000000	
0,5600	718,19	-1000000	-1000000	-1000000	
0,5800	717,56	-1000000	-1000000	-1000000	
0,6000	715,55	-1000000	-1000000	-1000000	
0,6200	714,31	-1000000	-1000000	-1000000	
0,6400	714,85	-1000000	-1000000	-1000000	
0,6600	715,39	-1000000	-1000000	-1000000	
0,6800	717,74	-1000000	-1000000	-1000000	
0,7000	720,00	-1000000	-1000000	-1000000	
0,7200	720,95	-1000000	-1000000	-1000000	
0,7400	723,37	-1000000	-1000000	-1000000	
0,7600	725,08	-1000000	-1000000	-1000000	
0,7800	724,30	-1000000	-1000000	-1000000	
0,8000	723,81	-1000000	-1000000	-1000000	
0,8200	722,09	-1000000	-1000000	-1000000	
0,8400	719,72	-1000000	-1000000	-1000000	
0,8600	719,26	-1000000	-1000000	-1000000	
0,8800	719,56	-1000000	-1000000	-1000000	
0,9000	721,07	-1000000	-1000000	-1000000	
0,9200	723,97	-1000000	-1000000	-1000000	
0,9400	724,74	-1000000	-1000000	-1000000	
0,9600	725,76	-1000000	-1000000	-1000000	
0,9800	727,81	-1000000	-1000000	-1000000	
1,000	726,99	-1000000	-1000000	-1000000	
1,020	724,92	-1000000	-1000000	-1000000	
1,040	723,32	-1000000	-1000000	-1000000	
1,060	721,18	-1000000	-1000000	-1000000	
1,080	720,23	-1000000	-1000000	-1000000	
1,100	720,61	-1000000	-1000000	-1000000	
1,120	721,03	-1000000	-1000000	-1000000	
1,140	722,31	-1000000	-1000000	-1000000	
1,160	723,71	-1000000	-1000000	-1000000	
1,180	724,52	-1000000	-1000000	-1000000	
1,200	725,61	-1000000	-1000000	-1000000	
1,220	725,30	-1000000	-1000000	-1000000	
1,240	724,16	-1000000	-1000000	-1000000	
1,260	723,81	-1000000	-1000000	-1000000	
1,280	723,12	-1000000	-1000000	-1000000	
1,300	722,30	-1000000	-1000000	-1000000	
1,320	721,91	-1000000	-1000000	-1000000	
1,340	721,17	-1000000	-1000000	-1000000	
1,360	720,10	-1000000	-1000000	-1000000	
1,380	719,37	-1000000	-1000000	-1000000	
1,400	718,52	-1000000	-1000000	-1000000	
1,420	718,97	-1000000	-1000000	-1000000	
1,440	719,77	-1000000	-1000000	-1000000	
1,460	719,93	-1000000	-1000000	-1000000	
1,480	720,41	-1000000	-1000000	-1000000	
1,500	720,96	-1000000	-1000000	-1000000	
1,520	720,84	-1000000	-1000000	-1000000	
1,540	719,90	-1000000	-1000000	-1000000	
1,560	718,63	-1000000	-1000000	-1000000	
1,580	717,55	-1000000	-1000000	-1000000	
1,600	716,88	-1000000	-1000000	-1000000	
1,620	716,37	-1000000	-1000000	-1000000	
1,640	716,99	-1000000	-1000000	-1000000	
1,660	718,18	-1000000	-1000000	-1000000	
1,680	719,21	-1000000	-1000000	-1000000	
1,700	720,73	-1000000	-1000000	-1000000	
1,720	721,37	-1000000	-1000000	-1000000	
1,740	720,60	-1000000	-1000000	-1000000	
1,760	719,26	-1000000	-1000000	-1000000	
1,780	717,43	-1000000	-1000000	-1000000	
1,800	715,74	-1000000	-1000000	-1000000	
1,820	715,06	-1000000	-1000000	-1000000	
1,840	714,47	-1000000	-1000000	-1000000	
1,860	714,64	-1000000	-1000000	-1000000	
1,880	715,78	-1000000	-1000000	-1000000	
1,900	716,57	-1000000	-1000000	-1000000	
1,920	717,61	-1000000	-1000000	-1000000	
1,940	718,29	-1000000	-1000000	-1000000	
1,960	717,72	-1000000	-1000000	-1000000	
1,980	717,33	-1000000	-1000000	-1000000	
2,000	717,27	-1000000	-1000000	-1000000	
2,020	716,92	-1000000	-1000000	-1000000	
