Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	696,07	-1000000	-1000000	-1000000	
0,02000	696,16	-1000000	-1000000	-1000000	
0,04000	699,83	-1000000	-1000000	-1000000	
0,06000	701,34	-1000000	-1000000	-1000000	
0,08000	702,01	-1000000	-1000000	-1000000	
0,1000	703,99	-1000000	-1000000	-1000000	
0,1200	703,70	-1000000	-1000000	-1000000	
0,1400	701,61	-1000000	-1000000	-1000000	
0,1600	700,78	-1000000	-1000000	-1000000	
0,1800	697,10	-1000000	-1000000	-1000000	
0,2000	696,35	-1000000	-1000000	-1000000	
0,2200	696,82	-1000000	-1000000	-1000000	
0,2400	695,30	-1000000	-1000000	-1000000	
0,2600	697,05	-1000000	-1000000	-1000000	
0,2800	699,73	-1000000	-1000000	-1000000	
0,3000	700,82	-1000000	-1000000	-1000000	
0,3200	703,04	-1000000	-1000000	-1000000	
0,3400	703,99	-1000000	-1000000	-1000000	
0,3600	702,41	-1000000	-1000000	-1000000	
0,3800	703,06	-1000000	-1000000	-1000000	
0,4000	700,37	-1000000	-1000000	-1000000	
0,4200	698,31	-1000000	-1000000	-1000000	
0,4400	698,05	-1000000	-1000000	-1000000	
0,4600	697,17	-1000000	-1000000	-1000000	
0,4800	697,41	-1000000	-1000000	-1000000	
0,5000	700,88	-1000000	-1000000	-1000000	
0,5200	700,66	-1000000	-1000000	-1000000	
0,5400	702,21	-1000000	-1000000	-1000000	
0,5600	703,34	-1000000	-1000000	-1000000	
0,5800	702,14	-1000000	-1000000	-1000000	
0,6000	701,58	-1000000	-1000000	-1000000	
0,6200	700,32	-1000000	-1000000	-1000000	
0,6400	697,90	-1000000	-1000000	-1000000	
0,6600	697,45	-1000000	-1000000	-1000000	
0,6800	696,19	-1000000	-1000000	-1000000	
0,7000	695,17	-1000000	-1000000	-1000000	
0,7200	698,30	-1000000	-1000000	-1000000	
0,7400	698,97	-1000000	-1000000	-1000000	
0,7600	700,89	-1000000	-1000000	-1000000	
0,7800	702,82	-1000000	-1000000	-1000000	
0,8000	702,55	-1000000	-1000000	-1000000	
0,8200	701,19	-1000000	-1000000	-1000000	
0,8400	700,58	-1000000	-1000000	-1000000	
0,8600	697,61	-1000000	-1000000	-1000000	
0,8800	698,01	-1000000	-1000000	-1000000	
0,9000	697,54	-1000000	-1000000	-1000000	
0,9200	696,79	-1000000	-1000000	-1000000	
0,9400	699,50	-1000000	-1000000	-1000000	
0,9600	701,72	-1000000	-1000000	-1000000	
0,9800	702,21	-1000000	-1000000	-1000000	
1,000	704,27	-1000000	-1000000	-1000000	
1,020	703,65	-1000000	-1000000	-1000000	
1,040	702,57	-1000000	-1000000	-1000000	
1,060	702,82	-1000000	-1000000	-1000000	
1,080	700,14	-1000000	-1000000	-1000000	
1,100	699,16	-1000000	-1000000	-1000000	
1,120	699,56	-1000000	-1000000	-1000000	
1,140	699,54	-1000000	-1000000	-1000000	
1,160	700,98	-1000000	-1000000	-1000000	
1,180	702,55	-1000000	-1000000	-1000000	
1,200	700,89	-1000000	-1000000	-1000000	
1,220	702,08	-1000000	-1000000	-1000000	
1,240	701,82	-1000000	-1000000	-1000000	
1,260	700,86	-1000000	-1000000	-1000000	
1,280	700,20	-1000000	-1000000	-1000000	
1,300	699,45	-1000000	-1000000	-1000000	
1,320	699,13	-1000000	-1000000	-1000000	
1,340	700,86	-1000000	-1000000	-1000000	
1,360	698,97	-1000000	-1000000	-1000000	
1,380	698,94	-1000000	-1000000	-1000000	
1,400	700,53	-1000000	-1000000	-1000000	
