Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	521,78	-1000000	-1000000	-1000000	
0,02000	521,43	-1000000	-1000000	-1000000	
0,04000	520,50	-1000000	-1000000	-1000000	
0,06000	521,03	-1000000	-1000000	-1000000	
0,08000	521,46	-1000000	-1000000	-1000000	
0,1000	521,25	-1000000	-1000000	-1000000	
0,1200	521,26	-1000000	-1000000	-1000000	
0,1400	521,46	-1000000	-1000000	-1000000	
0,1600	522,02	-1000000	-1000000	-1000000	
0,1800	523,40	-1000000	-1000000	-1000000	
0,2000	523,61	-1000000	-1000000	-1000000	
0,2200	523,85	-1000000	-1000000	-1000000	
0,2400	524,26	-1000000	-1000000	-1000000	
0,2600	524,06	-1000000	-1000000	-1000000	
0,2800	524,44	-1000000	-1000000	-1000000	
0,3000	524,92	-1000000	-1000000	-1000000	
0,3200	524,36	-1000000	-1000000	-1000000	
0,3400	524,01	-1000000	-1000000	-1000000	
0,3600	524,19	-1000000	-1000000	-1000000	
0,3800	523,85	-1000000	-1000000	-1000000	
0,4000	523,27	-1000000	-1000000	-1000000	
0,4200	523,59	-1000000	-1000000	-1000000	
0,4400	524,14	-1000000	-1000000	-1000000	
0,4600	524,57	-1000000	-1000000	-1000000	
0,4800	524,47	-1000000	-1000000	-1000000	
0,5000	524,64	-1000000	-1000000	-1000000	
0,5200	525,14	-1000000	-1000000	-1000000	
0,5400	525,32	-1000000	-1000000	-1000000	
0,5600	524,51	-1000000	-1000000	-1000000	
0,5800	524,40	-1000000	-1000000	-1000000	
0,6000	524,86	-1000000	-1000000	-1000000	
0,6200	524,63	-1000000	-1000000	-1000000	
0,6400	524,48	-1000000	-1000000	-1000000	
0,6600	524,11	-1000000	-1000000	-1000000	
0,6800	523,90	-1000000	-1000000	-1000000	
0,7000	524,20	-1000000	-1000000	-1000000	
0,7200	524,39	-1000000	-1000000	-1000000	
0,7400	523,00	-1000000	-1000000	-1000000	
0,7600	522,79	-1000000	-1000000	-1000000	
0,7800	522,28	-1000000	-1000000	-1000000	
0,8000	521,57	-1000000	-1000000	-1000000	
0,8200	521,83	-1000000	-1000000	-1000000	
0,8400	521,78	-1000000	-1000000	-1000000	
0,8600	520,56	-1000000	-1000000	-1000000	
0,8800	521,44	-1000000	-1000000	-1000000	
0,9000	521,87	-1000000	-1000000	-1000000	
0,9200	520,31	-1000000	-1000000	-1000000	
0,9400	519,67	-1000000	-1000000	-1000000	
0,9600	519,21	-1000000	-1000000	-1000000	
0,9800	518,52	-1000000	-1000000	-1000000	
1,000	519,33	-1000000	-1000000	-1000000	
1,020	519,22	-1000000	-1000000	-1000000	
1,040	518,12	-1000000	-1000000	-1000000	
1,060	519,41	-1000000	-1000000	-1000000	
1,080	519,66	-1000000	-1000000	-1000000	
1,100	520,13	-1000000	-1000000	-1000000	
1,120	521,24	-1000000	-1000000	-1000000	
1,140	520,29	-1000000	-1000000	-1000000	
1,160	520,23	-1000000	-1000000	-1000000	
1,180	521,93	-1000000	-1000000	-1000000	
1,200	521,10	-1000000	-1000000	-1000000	
1,220	520,69	-1000000	-1000000	-1000000	
1,240	520,97	-1000000	-1000000	-1000000	
1,260	520,81	-1000000	-1000000	-1000000	
1,280	521,02	-1000000	-1000000	-1000000	
1,300	520,75	-1000000	-1000000	-1000000	
1,320	519,28	-1000000	-1000000	-1000000	
1,340	519,83	-1000000	-1000000	-1000000	
1,360	521,18	-1000000	-1000000	-1000000	
1,380	521,37	-1000000	-1000000	-1000000	
1,400	521,61	-1000000	-1000000	-1000000	
1,420	521,17	-1000000	-1000000	-1000000	
1,440	522,22	-1000000	-1000000	-1000000	
1,460	524,08	-1000000	-1000000	-1000000	
1,480	523,96	-1000000	-1000000	-1000000	
1,500	522,76	-1000000	-1000000	-1000000	
1,520	522,09	-1000000	-1000000	-1000000	
1,540	521,24	-1000000	-1000000	-1000000	
1,560	521,60	-1000000	-1000000	-1000000	
1,580	522,37	-1000000	-1000000	-1000000	
1,600	521,35	-1000000	-1000000	-1000000	
1,620	520,82	-1000000	-1000000	-1000000	
1,640	521,32	-1000000	-1000000	-1000000	
1,660	520,77	-1000000	-1000000	-1000000	
1,680	521,85	-1000000	-1000000	-1000000	
1,700	523,06	-1000000	-1000000	-1000000	
1,720	522,27	-1000000	-1000000	-1000000	
1,740	522,74	-1000000	-1000000	-1000000	
1,760	522,49	-1000000	-1000000	-1000000	
1,780	521,34	-1000000	-1000000	-1000000	
1,800	522,40	-1000000	-1000000	-1000000	
1,820	522,66	-1000000	-1000000	-1000000	
1,840	522,32	-1000000	-1000000	-1000000	
1,860	524,02	-1000000	-1000000	-1000000	
1,880	524,59	-1000000	-1000000	-1000000	
1,900	524,82	-1000000	-1000000	-1000000	
1,920	525,42	-1000000	-1000000	-1000000	
1,940	525,07	-1000000	-1000000	-1000000	
1,960	524,19	-1000000	-1000000	-1000000	
1,980	522,47	-1000000	-1000000	-1000000	
2,000	521,03	-1000000	-1000000	-1000000	
2,020	521,70	-1000000	-1000000	-1000000	
2,040	522,19	-1000000	-1000000	-1000000	
2,060	522,28	-1000000	-1000000	-1000000	
2,080	523,12	-1000000	-1000000	-1000000	
2,100	524,18	-1000000	-1000000	-1000000	
2,120	526,27	-1000000	-1000000	-1000000	
2,140	527,84	-1000000	-1000000	-1000000	
2,160	526,47	-1000000	-1000000	-1000000	
2,180	524,55	-1000000	-1000000	-1000000	
2,200	522,97	-1000000	-1000000	-1000000	
2,220	521,38	-1000000	-1000000	-1000000	
2,240	520,62	-1000000	-1000000	-1000000	
2,260	520,34	-1000000	-1000000	-1000000	
2,280	520,16	-1000000	-1000000	-1000000	
2,300	520,55	-1000000	-1000000	-1000000	
2,320	522,48	-1000000	-1000000	-1000000	
2,340	523,60	-1000000	-1000000	-1000000	
2,360	524,46	-1000000	-1000000	-1000000	
2,380	525,63	-1000000	-1000000	-1000000	
2,400	524,49	-1000000	-1000000	-1000000	
2,420	522,28	-1000000	-1000000	-1000000	
2,440	521,39	-1000000	-1000000	-1000000	
2,460	519,91	-1000000	-1000000	-1000000	
2,480	519,08	-1000000	-1000000	-1000000	
2,500	519,38	-1000000	-1000000	-1000000	
2,520	519,78	-1000000	-1000000	-1000000	
2,540	521,64	-1000000	-1000000	-1000000	
2,560	522,48	-1000000	-1000000	-1000000	
2,580	523,86	-1000000	-1000000	-1000000	
2,600	525,64	-1000000	-1000000	-1000000	
2,620	526,18	-1000000	-1000000	-1000000	
2,640	525,27	-1000000	-1000000	-1000000	
2,660	523,00	-1000000	-1000000	-1000000	
2,680	520,93	-1000000	-1000000	-1000000	
2,700	520,92	-1000000	-1000000	-1000000	
2,720	518,70	-1000000	-1000000	-1000000	
2,740	517,87	-1000000	-1000000	-1000000	
2,760	519,26	-1000000	-1000000	-1000000	
2,780	520,75	-1000000	-1000000	-1000000	
2,800	522,42	-1000000	-1000000	-1000000	
2,820	524,47	-1000000	-1000000	-1000000	
2,840	524,67	-1000000	-1000000	-1000000	
2,860	524,84	-1000000	-1000000	-1000000	
2,880	525,30	-1000000	-1000000	-1000000	
2,900	523,78	-1000000	-1000000	-1000000	
2,920	521,56	-1000000	-1000000	-1000000	
2,940	519,26	-1000000	-1000000	-1000000	
2,960	519,67	-1000000	-1000000	-1000000	
2,980	520,88	-1000000	-1000000	-1000000	
3,000	522,11	-1000000	-1000000	-1000000	
3,020	522,48	-1000000	-1000000	-1000000	
3,040	523,48	-1000000	-1000000	-1000000	
3,060	523,75	-1000000	-1000000	-1000000	
3,080	524,91	-1000000	-1000000	-1000000	
3,100	523,13	-1000000	-1000000	-1000000	
3,120	522,80	-1000000	-1000000	-1000000	
3,140	522,88	-1000000	-1000000	-1000000	
3,160	521,15	-1000000	-1000000	-1000000	
3,180	522,07	-1000000	-1000000	-1000000	
3,200	521,65	-1000000	-1000000	-1000000	
3,220	520,25	-1000000	-1000000	-1000000	
3,240	520,14	-1000000	-1000000	-1000000	
3,260	521,90	-1000000	-1000000	-1000000	
3,280	522,07	-1000000	-1000000	-1000000	
3,300	522,16	-1000000	-1000000	-1000000	
3,320	522,46	-1000000	-1000000	-1000000	
3,340	522,14	-1000000	-1000000	-1000000	
3,360	522,52	-1000000	-1000000	-1000000	
3,380	522,50	-1000000	-1000000	-1000000	
3,400	519,52	-1000000	-1000000	-1000000	
3,420	518,60	-1000000	-1000000	-1000000	
3,440	519,91	-1000000	-1000000	-1000000	
3,460	520,10	-1000000	-1000000	-1000000	
3,480	520,87	-1000000	-1000000	-1000000	
3,500	521,91	-1000000	-1000000	-1000000	
3,520	521,90	-1000000	-1000000	-1000000	
3,540	523,65	-1000000	-1000000	-1000000	
3,560	524,62	-1000000	-1000000	-1000000	
3,580	522,96	-1000000	-1000000	-1000000	
3,600	522,63	-1000000	-1000000	-1000000	
3,620	523,11	-1000000	-1000000	-1000000	
3,640	521,92	-1000000	-1000000	-1000000	
3,660	522,13	-1000000	-1000000	-1000000	
3,680	521,98	-1000000	-1000000	-1000000	
3,700	522,52	-1000000	-1000000	-1000000	
3,720	524,70	-1000000	-1000000	-1000000	
3,740	525,35	-1000000	-1000000	-1000000	
3,760	524,59	-1000000	-1000000	-1000000	
3,780	524,38	-1000000	-1000000	-1000000	
3,800	524,18	-1000000	-1000000	-1000000	
3,820	523,55	-1000000	-1000000	-1000000	
3,840	522,41	-1000000	-1000000	-1000000	
3,860	520,63	-1000000	-1000000	-1000000	
3,880	520,62	-1000000	-1000000	-1000000	
3,900	521,99	-1000000	-1000000	-1000000	
3,920	523,95	-1000000	-1000000	-1000000	
3,940	525,04	-1000000	-1000000	-1000000	
3,960	525,25	-1000000	-1000000	-1000000	
3,980	524,68	-1000000	-1000000	-1000000	
4,000	525,75	-1000000	-1000000	-1000000	
