Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	494,02	-1000000	-1000000	-1000000	
0,02000	494,27	-1000000	-1000000	-1000000	
0,04000	493,98	-1000000	-1000000	-1000000	
0,06000	492,80	-1000000	-1000000	-1000000	
0,08000	490,95	-1000000	-1000000	-1000000	
0,1000	489,17	-1000000	-1000000	-1000000	
0,1200	488,45	-1000000	-1000000	-1000000	
0,1400	489,18	-1000000	-1000000	-1000000	
0,1600	490,71	-1000000	-1000000	-1000000	
0,1800	492,16	-1000000	-1000000	-1000000	
0,2000	493,61	-1000000	-1000000	-1000000	
0,2200	494,38	-1000000	-1000000	-1000000	
0,2400	494,58	-1000000	-1000000	-1000000	
0,2600	494,85	-1000000	-1000000	-1000000	
0,2800	494,92	-1000000	-1000000	-1000000	
0,3000	494,32	-1000000	-1000000	-1000000	
0,3200	493,59	-1000000	-1000000	-1000000	
0,3400	493,64	-1000000	-1000000	-1000000	
0,3600	494,16	-1000000	-1000000	-1000000	
0,3800	494,53	-1000000	-1000000	-1000000	
0,4000	494,76	-1000000	-1000000	-1000000	
0,4200	495,54	-1000000	-1000000	-1000000	
0,4400	496,51	-1000000	-1000000	-1000000	
0,4600	497,09	-1000000	-1000000	-1000000	
0,4800	497,34	-1000000	-1000000	-1000000	
0,5000	496,79	-1000000	-1000000	-1000000	
0,5200	495,10	-1000000	-1000000	-1000000	
0,5400	493,08	-1000000	-1000000	-1000000	
0,5600	491,99	-1000000	-1000000	-1000000	
0,5800	492,05	-1000000	-1000000	-1000000	
0,6000	492,74	-1000000	-1000000	-1000000	
0,6200	493,65	-1000000	-1000000	-1000000	
0,6400	495,27	-1000000	-1000000	-1000000	
0,6600	497,08	-1000000	-1000000	-1000000	
0,6800	497,98	-1000000	-1000000	-1000000	
0,7000	497,66	-1000000	-1000000	-1000000	
0,7200	496,72	-1000000	-1000000	-1000000	
0,7400	495,27	-1000000	-1000000	-1000000	
0,7600	493,53	-1000000	-1000000	-1000000	
0,7800	492,41	-1000000	-1000000	-1000000	
0,8000	492,31	-1000000	-1000000	-1000000	
0,8200	492,71	-1000000	-1000000	-1000000	
0,8400	493,34	-1000000	-1000000	-1000000	
0,8600	494,35	-1000000	-1000000	-1000000	
0,8800	495,26	-1000000	-1000000	-1000000	
0,9000	495,37	-1000000	-1000000	-1000000	
0,9200	494,77	-1000000	-1000000	-1000000	
0,9400	493,99	-1000000	-1000000	-1000000	
0,9600	492,68	-1000000	-1000000	-1000000	
0,9800	491,21	-1000000	-1000000	-1000000	
1,000	490,36	-1000000	-1000000	-1000000	
1,020	490,28	-1000000	-1000000	-1000000	
1,040	490,70	-1000000	-1000000	-1000000	
1,060	491,06	-1000000	-1000000	-1000000	
1,080	491,28	-1000000	-1000000	-1000000	
1,100	492,15	-1000000	-1000000	-1000000	
1,120	493,46	-1000000	-1000000	-1000000	
1,140	494,45	-1000000	-1000000	-1000000	
1,160	494,82	-1000000	-1000000	-1000000	
1,180	494,84	-1000000	-1000000	-1000000	
1,200	494,30	-1000000	-1000000	-1000000	
1,220	493,60	-1000000	-1000000	-1000000	
1,240	492,62	-1000000	-1000000	-1000000	
1,260	491,40	-1000000	-1000000	-1000000	
1,280	490,06	-1000000	-1000000	-1000000	
1,300	489,03	-1000000	-1000000	-1000000	
1,320	489,39	-1000000	-1000000	-1000000	
1,340	490,98	-1000000	-1000000	-1000000	
1,360	492,17	-1000000	-1000000	-1000000	
1,380	493,00	-1000000	-1000000	-1000000	
1,400	494,62	-1000000	-1000000	-1000000	
1,420	495,94	-1000000	-1000000	-1000000	
1,440	496,09	-1000000	-1000000	-1000000	
1,460	495,51	-1000000	-1000000	-1000000	
1,480	495,20	-1000000	-1000000	-1000000	
1,500	494,15	-1000000	-1000000	-1000000	
1,520	492,36	-1000000	-1000000	-1000000	
1,540	491,26	-1000000	-1000000	-1000000	
1,560	491,45	-1000000	-1000000	-1000000	
1,580	491,82	-1000000	-1000000	-1000000	
1,600	492,25	-1000000	-1000000	-1000000	
1,620	493,24	-1000000	-1000000	-1000000	
1,640	494,15	-1000000	-1000000	-1000000	
1,660	494,89	-1000000	-1000000	-1000000	
1,680	496,10	-1000000	-1000000	-1000000	
1,700	497,17	-1000000	-1000000	-1000000	
1,720	496,53	-1000000	-1000000	-1000000	
1,740	494,30	-1000000	-1000000	-1000000	
1,760	492,63	-1000000	-1000000	-1000000	
1,780	491,81	-1000000	-1000000	-1000000	
1,800	491,15	-1000000	-1000000	-1000000	
1,820	490,79	-1000000	-1000000	-1000000	
1,840	491,21	-1000000	-1000000	-1000000	
1,860	491,59	-1000000	-1000000	-1000000	
1,880	491,72	-1000000	-1000000	-1000000	
1,900	492,73	-1000000	-1000000	-1000000	
1,920	494,13	-1000000	-1000000	-1000000	
1,940	494,77	-1000000	-1000000	-1000000	
1,960	494,56	-1000000	-1000000	-1000000	
1,980	494,63	-1000000	-1000000	-1000000	
2,000	494,29	-1000000	-1000000	-1000000	
2,020	493,26	-1000000	-1000000	-1000000	
2,040	492,07	-1000000	-1000000	-1000000	
2,060	491,60	-1000000	-1000000	-1000000	
2,080	491,24	-1000000	-1000000	-1000000	
2,100	490,87	-1000000	-1000000	-1000000	
2,120	491,11	-1000000	-1000000	-1000000	
2,140	491,71	-1000000	-1000000	-1000000	
2,160	492,37	-1000000	-1000000	-1000000	
2,180	492,80	-1000000	-1000000	-1000000	
2,200	492,78	-1000000	-1000000	-1000000	
2,220	492,40	-1000000	-1000000	-1000000	
2,240	492,37	-1000000	-1000000	-1000000	
2,260	492,32	-1000000	-1000000	-1000000	
2,280	491,51	-1000000	-1000000	-1000000	
2,300	490,46	-1000000	-1000000	-1000000	
2,320	489,68	-1000000	-1000000	-1000000	
2,340	489,56	-1000000	-1000000	-1000000	
2,360	489,69	-1000000	-1000000	-1000000	
2,380	489,98	-1000000	-1000000	-1000000	
2,400	490,31	-1000000	-1000000	-1000000	
2,420	491,13	-1000000	-1000000	-1000000	
2,440	492,55	-1000000	-1000000	-1000000	
2,460	494,39	-1000000	-1000000	-1000000	
2,480	495,48	-1000000	-1000000	-1000000	
2,500	495,07	-1000000	-1000000	-1000000	
2,520	494,39	-1000000	-1000000	-1000000	
2,540	493,91	-1000000	-1000000	-1000000	
2,560	492,68	-1000000	-1000000	-1000000	
2,580	491,24	-1000000	-1000000	-1000000	
2,600	491,77	-1000000	-1000000	-1000000	
2,620	493,63	-1000000	-1000000	-1000000	
2,640	494,77	-1000000	-1000000	-1000000	
2,660	494,87	-1000000	-1000000	-1000000	
2,680	495,46	-1000000	-1000000	-1000000	
2,700	496,60	-1000000	-1000000	-1000000	
2,720	497,39	-1000000	-1000000	-1000000	
2,740	497,49	-1000000	-1000000	-1000000	
2,760	496,87	-1000000	-1000000	-1000000	
2,780	495,88	-1000000	-1000000	-1000000	
2,800	495,56	-1000000	-1000000	-1000000	
2,820	495,89	-1000000	-1000000	-1000000	
2,840	495,83	-1000000	-1000000	-1000000	
2,860	495,31	-1000000	-1000000	-1000000	
