Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	958,97	-1000000	-1000000	-1000000	
0,02000	954,52	-1000000	-1000000	-1000000	
0,04000	950,02	-1000000	-1000000	-1000000	
0,06000	946,94	-1000000	-1000000	-1000000	
0,08000	947,57	-1000000	-1000000	-1000000	
0,1000	949,08	-1000000	-1000000	-1000000	
0,1200	951,01	-1000000	-1000000	-1000000	
0,1400	955,29	-1000000	-1000000	-1000000	
0,1600	958,28	-1000000	-1000000	-1000000	
0,1800	958,52	-1000000	-1000000	-1000000	
0,2000	956,99	-1000000	-1000000	-1000000	
0,2200	952,33	-1000000	-1000000	-1000000	
0,2400	947,53	-1000000	-1000000	-1000000	
0,2600	944,40	-1000000	-1000000	-1000000	
0,2800	941,89	-1000000	-1000000	-1000000	
0,3000	941,96	-1000000	-1000000	-1000000	
0,3200	944,44	-1000000	-1000000	-1000000	
0,3400	947,90	-1000000	-1000000	-1000000	
0,3600	952,63	-1000000	-1000000	-1000000	
0,3800	955,84	-1000000	-1000000	-1000000	
0,4000	956,38	-1000000	-1000000	-1000000	
0,4200	957,07	-1000000	-1000000	-1000000	
0,4400	956,77	-1000000	-1000000	-1000000	
0,4600	956,35	-1000000	-1000000	-1000000	
0,4800	957,30	-1000000	-1000000	-1000000	
0,5000	957,72	-1000000	-1000000	-1000000	
0,5200	957,21	-1000000	-1000000	-1000000	
0,5400	957,04	-1000000	-1000000	-1000000	
0,5600	954,75	-1000000	-1000000	-1000000	
0,5800	951,50	-1000000	-1000000	-1000000	
0,6000	948,46	-1000000	-1000000	-1000000	
0,6200	946,18	-1000000	-1000000	-1000000	
0,6400	947,95	-1000000	-1000000	-1000000	
0,6600	952,86	-1000000	-1000000	-1000000	
0,6800	956,92	-1000000	-1000000	-1000000	
0,7000	959,51	-1000000	-1000000	-1000000	
0,7200	960,07	-1000000	-1000000	-1000000	
0,7400	959,00	-1000000	-1000000	-1000000	
0,7600	958,46	-1000000	-1000000	-1000000	
0,7800	958,02	-1000000	-1000000	-1000000	
0,8000	958,37	-1000000	-1000000	-1000000	
0,8200	959,71	-1000000	-1000000	-1000000	
0,8400	960,25	-1000000	-1000000	-1000000	
0,8600	960,30	-1000000	-1000000	-1000000	
