Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	735,59	-1000000	-1000000	-1000000	
0,02000	731,52	-1000000	-1000000	-1000000	
0,04000	734,37	-1000000	-1000000	-1000000	
0,06000	743,26	-1000000	-1000000	-1000000	
0,08000	755,03	-1000000	-1000000	-1000000	
0,1000	764,90	-1000000	-1000000	-1000000	
0,1200	769,07	-1000000	-1000000	-1000000	
0,1400	766,45	-1000000	-1000000	-1000000	
0,1600	758,71	-1000000	-1000000	-1000000	
0,1800	749,63	-1000000	-1000000	-1000000	
0,2000	742,15	-1000000	-1000000	-1000000	
0,2200	737,28	-1000000	-1000000	-1000000	
0,2400	735,39	-1000000	-1000000	-1000000	
0,2600	736,41	-1000000	-1000000	-1000000	
0,2800	739,37	-1000000	-1000000	-1000000	
0,3000	744,34	-1000000	-1000000	-1000000	
0,3200	750,59	-1000000	-1000000	-1000000	
0,3400	756,08	-1000000	-1000000	-1000000	
0,3600	759,03	-1000000	-1000000	-1000000	
0,3800	757,88	-1000000	-1000000	-1000000	
0,4000	752,84	-1000000	-1000000	-1000000	
0,4200	745,79	-1000000	-1000000	-1000000	
0,4400	738,94	-1000000	-1000000	-1000000	
0,4600	733,86	-1000000	-1000000	-1000000	
0,4800	731,46	-1000000	-1000000	-1000000	
0,5000	731,72	-1000000	-1000000	-1000000	
0,5200	734,12	-1000000	-1000000	-1000000	
0,5400	738,69	-1000000	-1000000	-1000000	
0,5600	745,27	-1000000	-1000000	-1000000	
0,5800	752,94	-1000000	-1000000	-1000000	
0,6000	760,69	-1000000	-1000000	-1000000	
0,6200	766,39	-1000000	-1000000	-1000000	
0,6400	768,29	-1000000	-1000000	-1000000	
0,6600	766,33	-1000000	-1000000	-1000000	
0,6800	760,06	-1000000	-1000000	-1000000	
0,7000	750,78	-1000000	-1000000	-1000000	
0,7200	740,61	-1000000	-1000000	-1000000	
0,7400	732,96	-1000000	-1000000	-1000000	
0,7600	730,91	-1000000	-1000000	-1000000	
0,7800	736,53	-1000000	-1000000	-1000000	
0,8000	749,01	-1000000	-1000000	-1000000	
0,8200	764,75	-1000000	-1000000	-1000000	
0,8400	778,00	-1000000	-1000000	-1000000	
0,8600	783,91	-1000000	-1000000	-1000000	
0,8800	780,70	-1000000	-1000000	-1000000	
0,9000	771,34	-1000000	-1000000	-1000000	
0,9200	759,11	-1000000	-1000000	-1000000	
0,9400	748,94	-1000000	-1000000	-1000000	
0,9600	743,81	-1000000	-1000000	-1000000	
0,9800	744,23	-1000000	-1000000	-1000000	
1,000	748,75	-1000000	-1000000	-1000000	
1,020	755,24	-1000000	-1000000	-1000000	
1,040	761,37	-1000000	-1000000	-1000000	
1,060	764,90	-1000000	-1000000	-1000000	
1,080	764,03	-1000000	-1000000	-1000000	
1,100	759,20	-1000000	-1000000	-1000000	
1,120	752,06	-1000000	-1000000	-1000000	
1,140	744,76	-1000000	-1000000	-1000000	
1,160	740,07	-1000000	-1000000	-1000000	
1,180	740,46	-1000000	-1000000	-1000000	
1,200	745,94	-1000000	-1000000	-1000000	
1,220	754,01	-1000000	-1000000	-1000000	
1,240	760,61	-1000000	-1000000	-1000000	
1,260	763,30	-1000000	-1000000	-1000000	
1,280	761,58	-1000000	-1000000	-1000000	
1,300	757,86	-1000000	-1000000	-1000000	
1,320	754,44	-1000000	-1000000	-1000000	
1,340	754,17	-1000000	-1000000	-1000000	
1,360	756,88	-1000000	-1000000	-1000000	
1,380	760,25	-1000000	-1000000	-1000000	
1,400	762,14	-1000000	-1000000	-1000000	
1,420	761,75	-1000000	-1000000	-1000000	
1,440	759,18	-1000000	-1000000	-1000000	
1,460	755,05	-1000000	-1000000	-1000000	
1,480	749,90	-1000000	-1000000	-1000000	
1,500	744,46	-1000000	-1000000	-1000000	
1,520	740,64	-1000000	-1000000	-1000000	
1,540	739,76	-1000000	-1000000	-1000000	
1,560	742,26	-1000000	-1000000	-1000000	
1,580	747,61	-1000000	-1000000	-1000000	
1,600	754,33	-1000000	-1000000	-1000000	
