Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	666,54	-1000000	-1000000	-1000000	
0,02000	667,27	-1000000	-1000000	-1000000	
0,04000	668,49	-1000000	-1000000	-1000000	
0,06000	669,64	-1000000	-1000000	-1000000	
0,08000	669,32	-1000000	-1000000	-1000000	
0,1000	669,45	-1000000	-1000000	-1000000	
0,1200	669,95	-1000000	-1000000	-1000000	
0,1400	668,89	-1000000	-1000000	-1000000	
0,1600	667,55	-1000000	-1000000	-1000000	
0,1800	666,96	-1000000	-1000000	-1000000	
0,2000	665,73	-1000000	-1000000	-1000000	
0,2200	665,22	-1000000	-1000000	-1000000	
0,2400	666,58	-1000000	-1000000	-1000000	
0,2600	667,55	-1000000	-1000000	-1000000	
0,2800	667,94	-1000000	-1000000	-1000000	
0,3000	668,36	-1000000	-1000000	-1000000	
0,3200	668,54	-1000000	-1000000	-1000000	
0,3400	668,45	-1000000	-1000000	-1000000	
0,3600	667,38	-1000000	-1000000	-1000000	
0,3800	666,10	-1000000	-1000000	-1000000	
0,4000	665,53	-1000000	-1000000	-1000000	
0,4200	665,30	-1000000	-1000000	-1000000	
0,4400	664,69	-1000000	-1000000	-1000000	
0,4600	664,67	-1000000	-1000000	-1000000	
0,4800	664,77	-1000000	-1000000	-1000000	
0,5000	664,23	-1000000	-1000000	-1000000	
0,5200	664,19	-1000000	-1000000	-1000000	
0,5400	664,91	-1000000	-1000000	-1000000	
0,5600	666,09	-1000000	-1000000	-1000000	
0,5800	666,39	-1000000	-1000000	-1000000	
0,6000	666,64	-1000000	-1000000	-1000000	
0,6200	667,45	-1000000	-1000000	-1000000	
0,6400	668,41	-1000000	-1000000	-1000000	
0,6600	668,11	-1000000	-1000000	-1000000	
0,6800	666,69	-1000000	-1000000	-1000000	
0,7000	664,50	-1000000	-1000000	-1000000	
0,7200	662,97	-1000000	-1000000	-1000000	
0,7400	663,43	-1000000	-1000000	-1000000	
0,7600	664,79	-1000000	-1000000	-1000000	
0,7800	666,53	-1000000	-1000000	-1000000	
0,8000	668,79	-1000000	-1000000	-1000000	
0,8200	670,62	-1000000	-1000000	-1000000	
0,8400	672,17	-1000000	-1000000	-1000000	
0,8600	673,68	-1000000	-1000000	-1000000	
0,8800	672,71	-1000000	-1000000	-1000000	
0,9000	670,35	-1000000	-1000000	-1000000	
0,9200	669,24	-1000000	-1000000	-1000000	
0,9400	668,77	-1000000	-1000000	-1000000	
0,9600	668,03	-1000000	-1000000	-1000000	
0,9800	667,61	-1000000	-1000000	-1000000	
1,000	667,88	-1000000	-1000000	-1000000	
1,020	669,53	-1000000	-1000000	-1000000	
1,040	671,92	-1000000	-1000000	-1000000	
1,060	672,65	-1000000	-1000000	-1000000	
1,080	672,77	-1000000	-1000000	-1000000	
1,100	673,02	-1000000	-1000000	-1000000	
1,120	672,43	-1000000	-1000000	-1000000	
1,140	671,69	-1000000	-1000000	-1000000	
1,160	671,06	-1000000	-1000000	-1000000	
1,180	669,38	-1000000	-1000000	-1000000	
1,200	668,29	-1000000	-1000000	-1000000	
1,220	668,63	-1000000	-1000000	-1000000	
1,240	668,93	-1000000	-1000000	-1000000	
1,260	669,82	-1000000	-1000000	-1000000	
1,280	671,26	-1000000	-1000000	-1000000	
1,300	672,32	-1000000	-1000000	-1000000	
1,320	673,68	-1000000	-1000000	-1000000	
1,340	674,77	-1000000	-1000000	-1000000	
1,360	674,32	-1000000	-1000000	-1000000	
1,380	673,34	-1000000	-1000000	-1000000	
1,400	672,04	-1000000	-1000000	-1000000	
