Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	704,19	-1000000	-1000000	-1000000	
0,02000	704,36	-1000000	-1000000	-1000000	
0,04000	703,80	-1000000	-1000000	-1000000	
0,06000	704,54	-1000000	-1000000	-1000000	
0,08000	705,96	-1000000	-1000000	-1000000	
0,1000	706,96	-1000000	-1000000	-1000000	
0,1200	709,48	-1000000	-1000000	-1000000	
0,1400	710,48	-1000000	-1000000	-1000000	
0,1600	709,57	-1000000	-1000000	-1000000	
0,1800	710,42	-1000000	-1000000	-1000000	
0,2000	708,67	-1000000	-1000000	-1000000	
0,2200	707,59	-1000000	-1000000	-1000000	
0,2400	706,33	-1000000	-1000000	-1000000	
0,2600	706,33	-1000000	-1000000	-1000000	
0,2800	705,31	-1000000	-1000000	-1000000	
0,3000	705,59	-1000000	-1000000	-1000000	
0,3200	705,50	-1000000	-1000000	-1000000	
0,3400	708,87	-1000000	-1000000	-1000000	
0,3600	710,35	-1000000	-1000000	-1000000	
0,3800	710,73	-1000000	-1000000	-1000000	
0,4000	711,03	-1000000	-1000000	-1000000	
0,4200	711,16	-1000000	-1000000	-1000000	
0,4400	709,82	-1000000	-1000000	-1000000	
0,4600	709,65	-1000000	-1000000	-1000000	
0,4800	707,06	-1000000	-1000000	-1000000	
0,5000	705,42	-1000000	-1000000	-1000000	
0,5200	705,61	-1000000	-1000000	-1000000	
0,5400	704,62	-1000000	-1000000	-1000000	
0,5600	705,98	-1000000	-1000000	-1000000	
0,5800	707,83	-1000000	-1000000	-1000000	
0,6000	708,94	-1000000	-1000000	-1000000	
0,6200	709,66	-1000000	-1000000	-1000000	
0,6400	710,88	-1000000	-1000000	-1000000	
0,6600	709,01	-1000000	-1000000	-1000000	
0,6800	709,94	-1000000	-1000000	-1000000	
0,7000	708,36	-1000000	-1000000	-1000000	
0,7200	707,12	-1000000	-1000000	-1000000	
0,7400	706,23	-1000000	-1000000	-1000000	
0,7600	706,64	-1000000	-1000000	-1000000	
0,7800	705,72	-1000000	-1000000	-1000000	
0,8000	705,72	-1000000	-1000000	-1000000	
0,8200	703,90	-1000000	-1000000	-1000000	
0,8400	705,23	-1000000	-1000000	-1000000	
0,8600	707,44	-1000000	-1000000	-1000000	
0,8800	707,01	-1000000	-1000000	-1000000	
0,9000	707,11	-1000000	-1000000	-1000000	
0,9200	707,06	-1000000	-1000000	-1000000	
0,9400	706,01	-1000000	-1000000	-1000000	
0,9600	705,22	-1000000	-1000000	-1000000	
0,9800	704,93	-1000000	-1000000	-1000000	
1,000	702,95	-1000000	-1000000	-1000000	
1,020	704,13	-1000000	-1000000	-1000000	
1,040	703,35	-1000000	-1000000	-1000000	
1,060	704,19	-1000000	-1000000	-1000000	
1,080	703,87	-1000000	-1000000	-1000000	
1,100	704,66	-1000000	-1000000	-1000000	
1,120	705,19	-1000000	-1000000	-1000000	
1,140	707,52	-1000000	-1000000	-1000000	
1,160	707,18	-1000000	-1000000	-1000000	
