Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	467,79	-1000000	-1000000	-1000000	
0,02000	467,28	-1000000	-1000000	-1000000	
0,04000	467,19	-1000000	-1000000	-1000000	
0,06000	467,62	-1000000	-1000000	-1000000	
0,08000	467,81	-1000000	-1000000	-1000000	
0,1000	467,35	-1000000	-1000000	-1000000	
0,1200	467,11	-1000000	-1000000	-1000000	
0,1400	467,18	-1000000	-1000000	-1000000	
0,1600	466,87	-1000000	-1000000	-1000000	
0,1800	465,95	-1000000	-1000000	-1000000	
0,2000	465,40	-1000000	-1000000	-1000000	
0,2200	465,38	-1000000	-1000000	-1000000	
0,2400	464,98	-1000000	-1000000	-1000000	
0,2600	463,98	-1000000	-1000000	-1000000	
0,2800	463,13	-1000000	-1000000	-1000000	
0,3000	463,14	-1000000	-1000000	-1000000	
0,3200	463,66	-1000000	-1000000	-1000000	
0,3400	463,94	-1000000	-1000000	-1000000	
0,3600	463,23	-1000000	-1000000	-1000000	
0,3800	462,20	-1000000	-1000000	-1000000	
0,4000	462,10	-1000000	-1000000	-1000000	
0,4200	462,61	-1000000	-1000000	-1000000	
0,4400	462,20	-1000000	-1000000	-1000000	
0,4600	461,35	-1000000	-1000000	-1000000	
0,4800	461,12	-1000000	-1000000	-1000000	
0,5000	460,83	-1000000	-1000000	-1000000	
0,5200	460,64	-1000000	-1000000	-1000000	
0,5400	460,38	-1000000	-1000000	-1000000	
0,5600	460,22	-1000000	-1000000	-1000000	
0,5800	460,15	-1000000	-1000000	-1000000	
0,6000	460,73	-1000000	-1000000	-1000000	
0,6200	461,42	-1000000	-1000000	-1000000	
0,6400	462,40	-1000000	-1000000	-1000000	
0,6600	463,88	-1000000	-1000000	-1000000	
0,6800	465,17	-1000000	-1000000	-1000000	
0,7000	465,57	-1000000	-1000000	-1000000	
0,7200	465,11	-1000000	-1000000	-1000000	
0,7400	464,78	-1000000	-1000000	-1000000	
0,7600	464,52	-1000000	-1000000	-1000000	
0,7800	464,11	-1000000	-1000000	-1000000	
0,8000	463,04	-1000000	-1000000	-1000000	
0,8200	462,25	-1000000	-1000000	-1000000	
0,8400	462,22	-1000000	-1000000	-1000000	
0,8600	462,65	-1000000	-1000000	-1000000	
0,8800	463,10	-1000000	-1000000	-1000000	
0,9000	464,11	-1000000	-1000000	-1000000	
0,9200	465,50	-1000000	-1000000	-1000000	
0,9400	466,58	-1000000	-1000000	-1000000	
0,9600	467,07	-1000000	-1000000	-1000000	
0,9800	467,03	-1000000	-1000000	-1000000	
1,000	466,68	-1000000	-1000000	-1000000	
1,020	466,39	-1000000	-1000000	-1000000	
1,040	466,50	-1000000	-1000000	-1000000	
1,060	466,02	-1000000	-1000000	-1000000	
1,080	465,12	-1000000	-1000000	-1000000	
1,100	464,81	-1000000	-1000000	-1000000	
1,120	465,79	-1000000	-1000000	-1000000	
1,140	467,14	-1000000	-1000000	-1000000	
1,160	468,08	-1000000	-1000000	-1000000	
1,180	468,71	-1000000	-1000000	-1000000	
1,200	469,77	-1000000	-1000000	-1000000	
1,220	471,16	-1000000	-1000000	-1000000	
1,240	472,33	-1000000	-1000000	-1000000	
1,260	472,42	-1000000	-1000000	-1000000	
1,280	471,52	-1000000	-1000000	-1000000	
1,300	470,23	-1000000	-1000000	-1000000	
1,320	469,15	-1000000	-1000000	-1000000	
1,340	467,81	-1000000	-1000000	-1000000	
1,360	465,95	-1000000	-1000000	-1000000	
1,380	464,60	-1000000	-1000000	-1000000	
1,400	464,81	-1000000	-1000000	-1000000	
1,420	465,84	-1000000	-1000000	-1000000	
1,440	466,79	-1000000	-1000000	-1000000	
1,460	468,15	-1000000	-1000000	-1000000	
1,480	469,38	-1000000	-1000000	-1000000	
1,500	469,72	-1000000	-1000000	-1000000	
1,520	469,22	-1000000	-1000000	-1000000	
1,540	468,60	-1000000	-1000000	-1000000	
1,560	467,73	-1000000	-1000000	-1000000	
1,580	466,44	-1000000	-1000000	-1000000	
1,600	465,21	-1000000	-1000000	-1000000	
1,620	465,12	-1000000	-1000000	-1000000	
1,640	465,77	-1000000	-1000000	-1000000	
1,660	466,43	-1000000	-1000000	-1000000	
1,680	467,32	-1000000	-1000000	-1000000	
1,700	468,56	-1000000	-1000000	-1000000	
1,720	469,76	-1000000	-1000000	-1000000	
1,740	471,09	-1000000	-1000000	-1000000	
1,760	472,34	-1000000	-1000000	-1000000	
1,780	472,53	-1000000	-1000000	-1000000	
1,800	471,54	-1000000	-1000000	-1000000	
1,820	470,68	-1000000	-1000000	-1000000	
1,840	470,46	-1000000	-1000000	-1000000	
1,860	469,90	-1000000	-1000000	-1000000	
1,880	468,58	-1000000	-1000000	-1000000	
1,900	467,19	-1000000	-1000000	-1000000	
1,920	466,70	-1000000	-1000000	-1000000	
1,940	466,86	-1000000	-1000000	-1000000	
1,960	466,72	-1000000	-1000000	-1000000	
1,980	465,78	-1000000	-1000000	-1000000	
2,000	464,75	-1000000	-1000000	-1000000	
2,020	463,82	-1000000	-1000000	-1000000	
2,040	463,08	-1000000	-1000000	-1000000	
2,060	462,33	-1000000	-1000000	-1000000	
2,080	461,57	-1000000	-1000000	-1000000	
2,100	460,89	-1000000	-1000000	-1000000	
2,120	461,02	-1000000	-1000000	-1000000	
2,140	462,06	-1000000	-1000000	-1000000	
2,160	463,24	-1000000	-1000000	-1000000	
2,180	463,97	-1000000	-1000000	-1000000	
2,200	465,04	-1000000	-1000000	-1000000	
2,220	466,89	-1000000	-1000000	-1000000	
2,240	468,80	-1000000	-1000000	-1000000	
2,260	469,64	-1000000	-1000000	-1000000	
2,280	469,47	-1000000	-1000000	-1000000	
2,300	469,80	-1000000	-1000000	-1000000	
2,320	470,73	-1000000	-1000000	-1000000	
2,340	471,22	-1000000	-1000000	-1000000	
2,360	470,72	-1000000	-1000000	-1000000	
2,380	470,30	-1000000	-1000000	-1000000	
2,400	470,29	-1000000	-1000000	-1000000	
2,420	470,61	-1000000	-1000000	-1000000	
2,440	471,12	-1000000	-1000000	-1000000	
2,460	471,63	-1000000	-1000000	-1000000	
2,480	471,67	-1000000	-1000000	-1000000	
2,500	471,69	-1000000	-1000000	-1000000	
2,520	472,11	-1000000	-1000000	-1000000	
2,540	472,71	-1000000	-1000000	-1000000	
2,560	472,59	-1000000	-1000000	-1000000	
2,580	471,78	-1000000	-1000000	-1000000	
2,600	471,52	-1000000	-1000000	-1000000	
2,620	472,03	-1000000	-1000000	-1000000	
2,640	472,42	-1000000	-1000000	-1000000	
2,660	472,21	-1000000	-1000000	-1000000	
2,680	472,22	-1000000	-1000000	-1000000	
2,700	472,74	-1000000	-1000000	-1000000	
2,720	473,41	-1000000	-1000000	-1000000	
2,740	474,45	-1000000	-1000000	-1000000	
2,760	475,91	-1000000	-1000000	-1000000	
2,780	476,77	-1000000	-1000000	-1000000	
2,800	476,35	-1000000	-1000000	-1000000	
2,820	476,00	-1000000	-1000000	-1000000	
2,840	476,50	-1000000	-1000000	-1000000	
2,860	476,59	-1000000	-1000000	-1000000	
2,880	475,41	-1000000	-1000000	-1000000	
2,900	474,28	-1000000	-1000000	-1000000	
2,920	474,36	-1000000	-1000000	-1000000	
2,940	474,68	-1000000	-1000000	-1000000	
2,960	474,64	-1000000	-1000000	-1000000	
2,980	474,72	-1000000	-1000000	-1000000	
3,000	475,15	-1000000	-1000000	-1000000	
3,020	475,38	-1000000	-1000000	-1000000	
3,040	475,86	-1000000	-1000000	-1000000	
3,060	476,84	-1000000	-1000000	-1000000	
3,080	477,30	-1000000	-1000000	-1000000	
