Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	787,47	-1000000	-1000000	-1000000	
0,02000	786,21	-1000000	-1000000	-1000000	
0,04000	785,72	-1000000	-1000000	-1000000	
0,06000	784,55	-1000000	-1000000	-1000000	
0,08000	784,66	-1000000	-1000000	-1000000	
0,1000	785,52	-1000000	-1000000	-1000000	
0,1200	786,55	-1000000	-1000000	-1000000	
0,1400	786,22	-1000000	-1000000	-1000000	
0,1600	788,09	-1000000	-1000000	-1000000	
0,1800	789,87	-1000000	-1000000	-1000000	
0,2000	790,34	-1000000	-1000000	-1000000	
0,2200	790,83	-1000000	-1000000	-1000000	
0,2400	791,34	-1000000	-1000000	-1000000	
0,2600	790,96	-1000000	-1000000	-1000000	
0,2800	790,45	-1000000	-1000000	-1000000	
0,3000	788,97	-1000000	-1000000	-1000000	
0,3200	787,45	-1000000	-1000000	-1000000	
0,3400	786,39	-1000000	-1000000	-1000000	
0,3600	785,63	-1000000	-1000000	-1000000	
0,3800	785,96	-1000000	-1000000	-1000000	
0,4000	785,74	-1000000	-1000000	-1000000	
0,4200	785,76	-1000000	-1000000	-1000000	
0,4400	786,49	-1000000	-1000000	-1000000	
0,4600	787,54	-1000000	-1000000	-1000000	
0,4800	788,12	-1000000	-1000000	-1000000	
0,5000	789,01	-1000000	-1000000	-1000000	
0,5200	787,49	-1000000	-1000000	-1000000	
0,5400	786,21	-1000000	-1000000	-1000000	
0,5600	786,44	-1000000	-1000000	-1000000	
0,5800	786,03	-1000000	-1000000	-1000000	
0,6000	784,04	-1000000	-1000000	-1000000	
0,6200	783,15	-1000000	-1000000	-1000000	
0,6400	783,09	-1000000	-1000000	-1000000	
0,6600	785,03	-1000000	-1000000	-1000000	
0,6800	787,16	-1000000	-1000000	-1000000	
0,7000	789,70	-1000000	-1000000	-1000000	
0,7200	792,16	-1000000	-1000000	-1000000	
0,7400	792,11	-1000000	-1000000	-1000000	
0,7600	791,92	-1000000	-1000000	-1000000	
0,7800	791,40	-1000000	-1000000	-1000000	
0,8000	790,06	-1000000	-1000000	-1000000	
