Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	521,35	-1000000	-1000000	-1000000	
0,02000	521,23	-1000000	-1000000	-1000000	
0,04000	521,94	-1000000	-1000000	-1000000	
0,06000	523,03	-1000000	-1000000	-1000000	
0,08000	523,49	-1000000	-1000000	-1000000	
0,1000	523,74	-1000000	-1000000	-1000000	
0,1200	523,82	-1000000	-1000000	-1000000	
0,1400	523,86	-1000000	-1000000	-1000000	
0,1600	523,56	-1000000	-1000000	-1000000	
0,1800	523,80	-1000000	-1000000	-1000000	
0,2000	524,41	-1000000	-1000000	-1000000	
0,2200	524,06	-1000000	-1000000	-1000000	
0,2400	523,07	-1000000	-1000000	-1000000	
0,2600	522,70	-1000000	-1000000	-1000000	
0,2800	523,54	-1000000	-1000000	-1000000	
0,3000	524,21	-1000000	-1000000	-1000000	
0,3200	523,98	-1000000	-1000000	-1000000	
0,3400	523,64	-1000000	-1000000	-1000000	
0,3600	523,76	-1000000	-1000000	-1000000	
0,3800	524,30	-1000000	-1000000	-1000000	
0,4000	524,63	-1000000	-1000000	-1000000	
0,4200	524,06	-1000000	-1000000	-1000000	
0,4400	523,30	-1000000	-1000000	-1000000	
0,4600	523,40	-1000000	-1000000	-1000000	
0,4800	524,30	-1000000	-1000000	-1000000	
0,5000	523,81	-1000000	-1000000	-1000000	
0,5200	522,25	-1000000	-1000000	-1000000	
0,5400	521,93	-1000000	-1000000	-1000000	
0,5600	523,60	-1000000	-1000000	-1000000	
0,5800	525,05	-1000000	-1000000	-1000000	
0,6000	524,75	-1000000	-1000000	-1000000	
0,6200	524,16	-1000000	-1000000	-1000000	
0,6400	524,57	-1000000	-1000000	-1000000	
0,6600	525,66	-1000000	-1000000	-1000000	
0,6800	525,86	-1000000	-1000000	-1000000	
0,7000	525,07	-1000000	-1000000	-1000000	
0,7200	524,22	-1000000	-1000000	-1000000	
0,7400	524,43	-1000000	-1000000	-1000000	
0,7600	525,09	-1000000	-1000000	-1000000	
0,7800	524,97	-1000000	-1000000	-1000000	
0,8000	523,94	-1000000	-1000000	-1000000	
0,8200	523,74	-1000000	-1000000	-1000000	
0,8400	524,43	-1000000	-1000000	-1000000	
0,8600	525,06	-1000000	-1000000	-1000000	
0,8800	524,73	-1000000	-1000000	-1000000	
0,9000	524,37	-1000000	-1000000	-1000000	
0,9200	524,24	-1000000	-1000000	-1000000	
0,9400	524,08	-1000000	-1000000	-1000000	
0,9600	524,01	-1000000	-1000000	-1000000	
0,9800	523,92	-1000000	-1000000	-1000000	
1,000	524,13	-1000000	-1000000	-1000000	
1,020	524,21	-1000000	-1000000	-1000000	
1,040	524,52	-1000000	-1000000	-1000000	
1,060	524,22	-1000000	-1000000	-1000000	
1,080	523,85	-1000000	-1000000	-1000000	
1,100	523,60	-1000000	-1000000	-1000000	
1,120	523,42	-1000000	-1000000	-1000000	
1,140	523,00	-1000000	-1000000	-1000000	
1,160	523,01	-1000000	-1000000	-1000000	
1,180	523,37	-1000000	-1000000	-1000000	
1,200	523,55	-1000000	-1000000	-1000000	
1,220	523,74	-1000000	-1000000	-1000000	
1,240	524,42	-1000000	-1000000	-1000000	
1,260	525,35	-1000000	-1000000	-1000000	
1,280	525,67	-1000000	-1000000	-1000000	
1,300	524,91	-1000000	-1000000	-1000000	
1,320	523,68	-1000000	-1000000	-1000000	
1,340	523,16	-1000000	-1000000	-1000000	
1,360	523,26	-1000000	-1000000	-1000000	
1,380	523,41	-1000000	-1000000	-1000000	
1,400	523,11	-1000000	-1000000	-1000000	
1,420	523,19	-1000000	-1000000	-1000000	
