Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	116,05	-1000000	-1000000	-1000000	
0,02000	115,88	-1000000	-1000000	-1000000	
0,04000	116,38	-1000000	-1000000	-1000000	
0,06000	116,81	-1000000	-1000000	-1000000	
0,08000	116,70	-1000000	-1000000	-1000000	
0,1000	116,62	-1000000	-1000000	-1000000	
0,1200	117,00	-1000000	-1000000	-1000000	
0,1400	117,43	-1000000	-1000000	-1000000	
0,1600	117,41	-1000000	-1000000	-1000000	
0,1800	117,08	-1000000	-1000000	-1000000	
0,2000	116,62	-1000000	-1000000	-1000000	
0,2200	116,65	-1000000	-1000000	-1000000	
0,2400	117,17	-1000000	-1000000	-1000000	
0,2600	117,59	-1000000	-1000000	-1000000	
0,2800	117,23	-1000000	-1000000	-1000000	
0,3000	116,63	-1000000	-1000000	-1000000	
0,3200	116,66	-1000000	-1000000	-1000000	
0,3400	116,85	-1000000	-1000000	-1000000	
0,3600	116,71	-1000000	-1000000	-1000000	
0,3800	116,64	-1000000	-1000000	-1000000	
0,4000	116,82	-1000000	-1000000	-1000000	
0,4200	117,01	-1000000	-1000000	-1000000	
0,4400	116,92	-1000000	-1000000	-1000000	
0,4600	116,77	-1000000	-1000000	-1000000	
0,4800	116,55	-1000000	-1000000	-1000000	
0,5000	116,70	-1000000	-1000000	-1000000	
0,5200	117,00	-1000000	-1000000	-1000000	
0,5400	117,07	-1000000	-1000000	-1000000	
0,5600	116,90	-1000000	-1000000	-1000000	
0,5800	116,72	-1000000	-1000000	-1000000	
0,6000	116,98	-1000000	-1000000	-1000000	
0,6200	117,19	-1000000	-1000000	-1000000	
0,6400	117,17	-1000000	-1000000	-1000000	
0,6600	116,87	-1000000	-1000000	-1000000	
0,6800	117,03	-1000000	-1000000	-1000000	
0,7000	117,47	-1000000	-1000000	-1000000	
0,7200	117,40	-1000000	-1000000	-1000000	
0,7400	116,99	-1000000	-1000000	-1000000	
0,7600	116,69	-1000000	-1000000	-1000000	
0,7800	116,83	-1000000	-1000000	-1000000	
0,8000	117,18	-1000000	-1000000	-1000000	
0,8200	117,46	-1000000	-1000000	-1000000	
0,8400	117,25	-1000000	-1000000	-1000000	
0,8600	116,90	-1000000	-1000000	-1000000	
0,8800	116,72	-1000000	-1000000	-1000000	
0,9000	116,85	-1000000	-1000000	-1000000	
0,9200	116,84	-1000000	-1000000	-1000000	
0,9400	116,61	-1000000	-1000000	-1000000	
0,9600	116,55	-1000000	-1000000	-1000000	
0,9800	116,64	-1000000	-1000000	-1000000	
1,000	116,76	-1000000	-1000000	-1000000	
1,020	116,96	-1000000	-1000000	-1000000	
1,040	116,93	-1000000	-1000000	-1000000	
1,060	116,78	-1000000	-1000000	-1000000	
1,080	116,83	-1000000	-1000000	-1000000	
1,100	117,04	-1000000	-1000000	-1000000	
1,120	117,00	-1000000	-1000000	-1000000	
1,140	116,45	-1000000	-1000000	-1000000	
1,160	116,22	-1000000	-1000000	-1000000	
1,180	116,54	-1000000	-1000000	-1000000	
1,200	116,88	-1000000	-1000000	-1000000	
1,220	116,87	-1000000	-1000000	-1000000	
1,240	117,02	-1000000	-1000000	-1000000	
1,260	117,26	-1000000	-1000000	-1000000	
1,280	117,28	-1000000	-1000000	-1000000	
1,300	116,70	-1000000	-1000000	-1000000	
1,320	116,01	-1000000	-1000000	-1000000	
1,340	116,14	-1000000	-1000000	-1000000	
1,360	116,92	-1000000	-1000000	-1000000	
1,380	117,63	-1000000	-1000000	-1000000	
1,400	117,69	-1000000	-1000000	-1000000	
1,420	117,62	-1000000	-1000000	-1000000	
1,440	117,54	-1000000	-1000000	-1000000	
1,460	117,76	-1000000	-1000000	-1000000	
1,480	117,84	-1000000	-1000000	-1000000	
