Zeit  1 - Standardmessrate [s]	PW2DC3MR [g]	MX440B_CH 2 [V]	MX440B_CH 3 [V]	PW2DC3MR_1 [V]
0	197,89	-1000000	-1000000	-1000000	
0,02000	197,93	-1000000	-1000000	-1000000	
0,04000	198,46	-1000000	-1000000	-1000000	
0,06000	198,92	-1000000	-1000000	-1000000	
0,08000	197,82	-1000000	-1000000	-1000000	
0,1000	196,11	-1000000	-1000000	-1000000	
0,1200	194,75	-1000000	-1000000	-1000000	
0,1400	194,75	-1000000	-1000000	-1000000	
0,1600	194,94	-1000000	-1000000	-1000000	
0,1800	195,03	-1000000	-1000000	-1000000	
0,2000	195,97	-1000000	-1000000	-1000000	
0,2200	197,06	-1000000	-1000000	-1000000	
0,2400	197,21	-1000000	-1000000	-1000000	
0,2600	195,83	-1000000	-1000000	-1000000	
0,2800	193,95	-1000000	-1000000	-1000000	
0,3000	192,65	-1000000	-1000000	-1000000	
0,3200	192,59	-1000000	-1000000	-1000000	
0,3400	192,60	-1000000	-1000000	-1000000	
0,3600	192,54	-1000000	-1000000	-1000000	
0,3800	193,08	-1000000	-1000000	-1000000	
0,4000	194,28	-1000000	-1000000	-1000000	
0,4200	195,64	-1000000	-1000000	-1000000	
0,4400	195,43	-1000000	-1000000	-1000000	
0,4600	194,21	-1000000	-1000000	-1000000	
0,4800	193,40	-1000000	-1000000	-1000000	
0,5000	194,17	-1000000	-1000000	-1000000	
0,5200	195,14	-1000000	-1000000	-1000000	
0,5400	195,46	-1000000	-1000000	-1000000	
0,5600	195,42	-1000000	-1000000	-1000000	
0,5800	195,67	-1000000	-1000000	-1000000	
0,6000	196,21	-1000000	-1000000	-1000000	
0,6200	195,98	-1000000	-1000000	-1000000	
0,6400	195,15	-1000000	-1000000	-1000000	
0,6600	193,53	-1000000	-1000000	-1000000	
0,6800	192,68	-1000000	-1000000	-1000000	
0,7000	192,44	-1000000	-1000000	-1000000	
0,7200	192,65	-1000000	-1000000	-1000000	
0,7400	193,08	-1000000	-1000000	-1000000	
0,7600	194,60	-1000000	-1000000	-1000000	
0,7800	195,90	-1000000	-1000000	-1000000	
0,8000	196,11	-1000000	-1000000	-1000000	
0,8200	195,33	-1000000	-1000000	-1000000	
0,8400	194,60	-1000000	-1000000	-1000000	
0,8600	194,52	-1000000	-1000000	-1000000	
0,8800	194,50	-1000000	-1000000	-1000000	
0,9000	194,84	-1000000	-1000000	-1000000	
0,9200	195,36	-1000000	-1000000	-1000000	
0,9400	196,11	-1000000	-1000000	-1000000	
0,9600	197,01	-1000000	-1000000	-1000000	
0,9800	197,27	-1000000	-1000000	-1000000	
1,000	196,49	-1000000	-1000000	-1000000	
1,020	195,48	-1000000	-1000000	-1000000	
1,040	195,83	-1000000	-1000000	-1000000	
1,060	196,29	-1000000	-1000000	-1000000	
1,080	196,20	-1000000	-1000000	-1000000	
1,100	195,96	-1000000	-1000000	-1000000	
1,120	196,49	-1000000	-1000000	-1000000	
1,140	197,30	-1000000	-1000000	-1000000	
1,160	197,22	-1000000	-1000000	-1000000	
1,180	196,63	-1000000	-1000000	-1000000	
1,200	195,46	-1000000	-1000000	-1000000	
1,220	194,87	-1000000	-1000000	-1000000	
1,240	195,24	-1000000	-1000000	-1000000	
1,260	195,82	-1000000	-1000000	-1000000	
1,280	196,18	-1000000	-1000000	-1000000	
1,300	196,61	-1000000	-1000000	-1000000	
1,320	198,27	-1000000	-1000000	-1000000	
1,340	199,36	-1000000	-1000000	-1000000	
1,360	199,28	-1000000	-1000000	-1000000	
1,380	198,47	-1000000	-1000000	-1000000	
1,400	198,11	-1000000	-1000000	-1000000	
